"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Dima Zhilkin","NO",2008-10-21,"5.11",195,"LW","Saginaw Spirit",2,3,2,5,2.5,1,1,2,3,0,0,2
"Ryan Kaczynski","NO",2009-07-08,"6.03",158,"LW","Soo Greyhounds",2,4,0,4,2,1,2,0,2,0,0,0
"Noah Laus","NO",2009-02-10,"6.01",193,"LW","Soo Greyhounds",2,3,1,4,2,2,0,1,1,0,0,2
"Nolan Snyder","NO",2009-04-13,"5.11",180,"RW","Kingston Frontenacs",2,2,2,4,2,3,0,1,1,0,0,0
"Levi Harper","NO",2008-10-03,"6.00",185,"D","Saginaw Spirit",2,0,4,4,2,-2,0,2,2,0,0,4
"Bogdan Yakushevsky","YES",2009-01-16,"6.00",182,"RW","Windsor Spitfires",2,2,1,3,1.5,0,1,0,1,0,0,0
"Cooper McAslan","YES",2009-03-16,"6.03",190,"D","London Knights",2,2,1,3,1.5,0,1,0,1,1,0,0
"Trevor Daley Jr","YES",2009-07-11,"5.10",182,"C","Soo Greyhounds",2,1,2,3,1.5,0,1,1,2,1,0,4
"Jake Murray","NO",2009-02-26,"6.01",195,"C","Erie Otters",1,0,3,3,3,3,0,0,0,0,0,0
"Kingston Harris","YES",2009-02-15,"6.01",164,"C","Sudbury Wolves",2,0,3,3,1.5,3,0,1,1,0,0,0
"Keaton Ardagh","NO",2009-07-08,"6.00",163,"RW","Brampton Steelheads",3,2,0,2,0.67,0,0,0,0,0,0,0
"Tyler Hinde","YES",2009-06-23,"6.03",173,"C","Oshawa Generals",2,2,0,2,1,1,1,0,1,0,0,0
"Aleks Kulemin","NO",2009-03-20,"6.04",190,"C","Kingston Frontenacs",2,1,1,2,1,3,1,0,1,1,0,2
"Brayden Lappalainen","YES",2009-04-27,"5.11",170,"LW","Brantford Bulldogs",2,1,1,2,1,3,1,0,1,0,0,0
"Dante D'Andrea","YES",2009-01-22,"6.01",180,"D","Kingston Frontenacs",2,1,1,2,1,5,0,0,0,0,0,0
"Eloan Le Gallic","YES",2009-02-06,"6.01",165,"C","London Knights",2,1,1,2,1,3,0,0,0,0,0,0
"Jake Ritson","YES",2009-02-12,"6.01",190,"LW","London Knights",2,1,1,2,1,2,0,0,0,1,0,0
"Max Brocklehurst","NO",2008-12-30,"5.09",170,"RW","Windsor Spitfires",2,1,1,2,1,0,0,0,0,0,0,0
"Adam Nemec","YES",2009-07-28,"6.01",175,"LW","Brantford Bulldogs",2,0,2,2,1,0,0,1,1,0,0,0
"John McLaughlin","NO",2009-08-14,"6.00",185,"C","Windsor Spitfires",2,0,2,2,1,0,0,1,1,0,0,0
"Kaden McGregor","NO",2009-01-30,"5.11",180,"C","Brantford Bulldogs",2,0,2,2,1,1,0,1,1,0,0,2
"Kane Barch","YES",2009-03-13,"6.00",192,"C","London Knights",2,0,2,2,1,0,0,0,0,0,0,0
"Mason Walker","NO",2008-11-26,"5.11",169,"LW","Sudbury Wolves",2,0,2,2,1,0,0,1,1,0,0,2
"Sam Roberts","NO",2009-05-21,"6.01",186,"RW","Oshawa Generals",2,0,2,2,1,1,0,1,1,0,0,0
"Brayden Bennett","NO",2009-02-05,"6.00",193,"C","Sudbury Wolves",2,1,0,1,0.5,1,1,0,1,0,0,0
"Genc Ula","NO",2008-10-26,"6.01",198,"D","Sudbury Wolves",2,1,0,1,0.5,0,1,0,1,0,0,7
"Luca Blonda","NO",2008-11-25,"5.10",188,"D","Sudbury Wolves",2,1,0,1,0.5,5,0,0,0,0,0,0
"Lucas DeMiglio","NO",2008-10-26,"6.00",165,"LW","Brampton Steelheads",3,1,0,1,0.33,1,0,0,0,0,0,0
"Mark Pape","NO",2009-01-24,"6.00",178,"LW","Oshawa Generals",2,1,0,1,0.5,2,0,0,0,0,0,7
"A.J. Gladman","YES",2009-01-19,"6.06",225,"D","Erie Otters",1,0,1,1,1,1,0,0,0,0,0,0
"Alex Campeau","YES",2009-03-23,"6.04",190,"C","London Knights",2,0,1,1,0.5,1,0,0,0,0,0,2
"Alex Forrest","YES",2009-06-11,"5.11",157,"LD","Kitchener Rangers",2,0,1,1,0.5,1,0,0,0,0,0,0
"Alex Milojevic","YES",2009-09-05,"5.11",195,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,1,1,0,0,2
"Anton Gesink","NO",2009-05-02,"6.02",179,"RW","Erie Otters",1,0,1,1,1,2,0,0,0,0,0,2
"Broden McArthur","YES",2009-02-24,"5.11",190,"D","Erie Otters",1,0,1,1,1,0,0,1,1,0,0,0
"Cam Warren","NO",2009-05-07,"5.10",168,"C","North Bay Battalion",2,0,1,1,0.5,1,0,0,0,0,0,2
"Carter Kunopaski","NO",2009-02-14,"6.01",207,"D","North Bay Battalion",2,0,1,1,0.5,1,0,0,0,0,0,5
"Christopher Weiss","YES",2009-01-17,"6.03",201,"D","Soo Greyhounds",2,0,1,1,0.5,2,0,0,0,0,0,0
"Cole Mazzoni","YES",2009-05-12,"6.03",193,"LW","Oshawa Generals",2,0,1,1,0.5,1,0,0,0,0,0,0
"David Buchman","NO",2009-07-01,"5.11",182,"D","Brantford Bulldogs",2,0,1,1,0.5,2,0,0,0,0,0,2
"Dmitry Savin","YES",2009-04-14,"6.03",190,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,0,0,0,0,0
"Easton Walos","NO",2008-12-28,"5.11",192,"C","Sarnia Sting",2,0,1,1,0.5,-1,0,1,1,0,0,4
"Jax Pereira","NO",2009-05-06,"5.11",175,"C","North Bay Battalion",2,0,1,1,0.5,1,0,0,0,0,0,0
