"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Zach Jovanovski","6.02",194,"Guelph Storm",2007-10-07,1,25,25,1,25,0,0,1,1,0,0,0,0,0,0,0
"Chase Petrova","6.00",172,"Brantford Bulldogs",2008-11-12,1,31,31,1,31.19,0,0,1,1,0,0,0,0,0,0,0
"Paolo Frasca","5.10",218,"Sudbury Wolves",2006-09-03,3,85,88,0.966,29.33,3,1,1,3,0,0,0,0,0,0,0
"Vilmer Salen Forsberg","6.06",220,"Brantford Bulldogs",2009-08-21,2,68,71,0.958,35.5,3,1.5,0,2,0,0,0,0,0,0,2
"Charlie Weiss","6.02",170,"London Knights",2009-07-21,1,20,22,0.909,20.38,2,1.85,0,1,0,0,0,0,0,0,0
"David Egorov","6.02",195,"Erie Otters",2006-05-18,2,55,59,0.932,29.5,4,2,0,2,0,0,0,0,0,0,0
"Jason Schaubel","6.00",165,"Kitchener Rangers",2008-08-30,3,61,67,0.91,22.73,6,2.04,0,1,2,0,2,0,0,0,0
"Vladislav Yermolenko","6.01",176,"Niagara IceDogs",2007-12-16,2,55,59,0.932,30.11,4,2.04,0,1,1,0,1,0,0,0,0
"Royden Smith","6.05",205,"Kingston Frontenacs",2009-02-06,2,70,75,0.933,36.85,5,2.46,0,2,0,0,0,0,0,0,0
"Ryerson Leenders","6.01",182,"Owen Sound Attack",2006-06-01,3,91,99,0.919,33.63,8,2.72,1,1,2,0,2,0,0,0,0
"Jake Windbiel","6.04",205,"Windsor Spitfires",2008-02-11,2,23,27,0.852,19.52,4,2.89,0,0,1,0,1,0,0,0,0
"Jaeden Nelson","6.01",195,"Ottawa 67's",2007-04-11,1,23,26,0.885,25.09,3,2.9,0,0,0,1,1,0,0,0,0
"Brian Cooke","6.03",180,"London Knights",2008-04-21,2,50,56,0.893,28,6,3,0,2,0,0,0,0,0,0,0
"Mason Courville","6.01",185,"Flint Firebirds",2009-10-27,2,49,55,0.891,27.5,6,3,0,2,0,0,0,0,0,0,0
"Brady Knowling","6.05",215,"Saginaw Spirit",2008-03-09,1,25,28,0.893,28,3,3,0,1,0,0,0,0,0,0,0
"Kale Osipenko","6.01",165,"Sarnia Sting",2008-10-07,1,26,29,0.897,29,3,3,0,1,0,0,0,0,0,0,0
"Owen Nelson","6.02",160,"Peterborough Petes",2007-04-05,2,67,73,0.918,37.01,6,3.04,0,1,1,0,1,0,0,0,0
"Jaden Cholette","6.03",184,"Oshawa Generals",2006-01-30,3,87,97,0.897,32.33,10,3.33,0,2,1,0,1,0,0,0,0
"Owen Loftus","6.01",163,"North Bay Battalion",2010-04-29,3,78,88,0.886,29.33,10,3.33,0,2,1,0,1,0,0,0,0
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,2,52,59,0.881,29.18,7,3.46,0,2,0,0,0,0,0,0,0
"Hagan Bach","6.01",191,"Barrie Colts",2009-04-17,2,76,84,0.905,42.53,8,4.05,0,0,2,0,2,0,0,0,0
"Matvei Nikonovich","6.02",188,"Barrie Colts",2008-06-28,1,33,37,0.892,37.91,4,4.1,0,0,1,0,1,0,0,0,0
"David Vermirovsky","6.04",175,"Soo Greyhounds",2008-07-25,1,37,41,0.902,42.05,4,4.1,0,0,1,0,1,0,0,0,0
"Neilan Johnson","6.02",185,"Brampton Steelheads",2008-08-01,2,42,49,0.857,29.46,7,4.21,0,0,1,0,1,0,0,0,0
"Michael Newlove","6.02",187,"Windsor Spitfires",2007-01-14,2,20,27,0.741,16.54,7,4.29,0,0,1,1,2,0,0,0,0
"Oskari Ahmajarvi","6.00",181,"Brampton Steelheads",2008-07-25,3,56,67,0.836,29.25,11,4.8,0,0,3,0,3,0,0,0,0
"Ivan Tkach-Tkachenko","6.03",185,"Sarnia Sting",2007-05-30,2,63,73,0.863,36.52,10,5,0,1,1,0,1,0,0,0,0
"Matthew Minchak","6.05",200,"Kingston Frontenacs",2007-05-23,1,24,29,0.828,29.3,5,5.05,0,0,1,0,1,0,0,0,0
"Connor Haffner","6.04",176,"Niagara IceDogs",2009-09-04,1,27,32,0.844,32.91,5,5.14,0,0,1,0,1,0,0,0,0
"Colin Ellsworth","6.01",186,"Guelph Storm",2008-12-03,2,66,77,0.857,38.5,11,5.5,0,0,2,0,2,0,0,0,0
"Masen Johnston","6.01",190,"Peterborough Petes",2007-02-08,2,48,59,0.814,29.63,11,5.52,0,0,2,0,2,0,0,0,0
"Egor Sokolov","6.02",200,"Saginaw Spirit",2010-03-16,2,47,57,0.825,28.72,10,5.04,0,0,1,1,2,0,0,0,0
