"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Aiden Kelly",2010-02-02,"C","Brantford Bulldogs",2,2,1,3,1.5,2,1,0,0,0,0
"Bogdan Yakushevsky",2009-01-16,"RW","Windsor Spitfires",2,2,1,3,1.5,0,1,0,0,0,0
"Cooper McAslan",2009-03-16,"D","London Knights",2,2,1,3,1.5,0,1,0,1,0,0
"Kane Cloutier",2010-06-14,"LW","Oshawa Generals",2,2,1,3,1.5,3,0,1,1,0,2
"Trevor Daley Jr",2009-07-11,"C","Soo Greyhounds",2,1,2,3,1.5,0,1,1,1,0,4
"Kingston Harris",2009-02-15,"C","Sudbury Wolves",2,0,3,3,1.5,3,0,1,0,0,0
"Colin Kennedy",2010-03-10,"C","Erie Otters",1,2,0,2,2,1,1,0,1,0,2
"Tanner Adams",2010-06-03,"C","Sudbury Wolves",2,2,0,2,1,2,0,0,0,0,2
"Tyler Hinde",2009-06-23,"C","Oshawa Generals",2,2,0,2,1,1,1,0,0,0,0
"Brayden Lappalainen",2009-04-27,"LW","Brantford Bulldogs",2,1,1,2,1,3,1,0,0,0,0
"Dante D'Andrea",2009-01-22,"D","Kingston Frontenacs",2,1,1,2,1,5,0,0,0,0,0
"Eloan Le Gallic",2009-02-06,"C","London Knights",2,1,1,2,1,3,0,0,0,0,0
"Jake Ritson",2009-02-12,"LW","London Knights",2,1,1,2,1,2,0,0,1,0,0
"Adam Nemec",2009-07-28,"LW","Brantford Bulldogs",2,0,2,2,1,0,0,1,0,0,0
"Kane Barch",2009-03-13,"C","London Knights",2,0,2,2,1,0,0,0,0,0,0
"Andrew Laurin",2010-04-09,"RW","Ottawa 67's",1,1,0,1,1,0,1,0,0,0,0
"Drew Bate",2010-05-19,"C","Saginaw Spirit",2,1,0,1,0.5,0,1,0,0,0,2
"Finley Butler",2010-03-22,"RW","Guelph Storm",2,1,0,1,0.5,-1,0,0,0,0,0
"Gordei Khotkov",2010-03-30,"D","Saginaw Spirit",2,1,0,1,0.5,-2,0,0,0,0,0
"Landon Roulston",2010-03-05,"C","Peterborough Petes",3,1,0,1,0.33,2,0,0,0,0,2
"Patrik Ula",2009-11-28,"LW","Sudbury Wolves",2,1,0,1,0.5,0,0,0,1,0,4
"A.J. Gladman",2009-01-19,"D","Erie Otters",1,0,1,1,1,1,0,0,0,0,0
"Adrian Sgro",2010-03-15,"D","Sarnia Sting",2,0,1,1,0.5,0,0,1,0,0,0
"Alex Campeau",2009-03-23,"C","London Knights",2,0,1,1,0.5,1,0,0,0,0,2
"Alex Forrest",2009-06-11,"LD","Kitchener Rangers",2,0,1,1,0.5,1,0,0,0,0,0
"Alex Milojevic",2009-09-05,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,1,0,0,2
"Broden McArthur",2009-02-24,"D","Erie Otters",1,0,1,1,1,0,0,1,0,0,0
"Christopher Weiss",2009-01-17,"D","Soo Greyhounds",2,0,1,1,0.5,2,0,0,0,0,0
