"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Colin Kennedy",2010-03-10,"C","Erie Otters",1,1,0,1,1,50
"Rowan Henderson",2007-12-10,"LW","Sudbury Wolves",2,1,0,1,0.5,50
"Tyler Hinde",2009-06-23,"C","Oshawa Generals",2,1,0,1,0.5,50
"A.J. Gladman",2009-01-19,"D","Erie Otters",1,0,1,1,1,100
"Jake Murray",2009-02-26,"C","Erie Otters",1,0,1,1,1,33
"Linus Funck",2007-05-10,"D","Oshawa Generals",1,0,1,1,1,100
"Onni Kalto",2006-12-14,"LW","Oshawa Generals",2,0,1,1,0.5,25
"Aaron Enright",2007-03-28,"D","North Bay Battalion",2,0,0,0,0,0
"Abe Barnett",2008-09-21,"D","Brantford Bulldogs",2,0,0,0,0,NA
"Adam Kelly",2008-09-19,"RW","Kingston Frontenacs",2,0,0,0,0,NA
"Adam Levac",2008-06-27,"C","Peterborough Petes",2,0,0,0,0,0
"Adam Nemec",2009-07-28,"LW","Brantford Bulldogs",2,0,0,0,0,0
"Adrian Manzo",2007-08-28,"D","North Bay Battalion",2,0,0,0,0,NA
"Adrian Sgro",2010-03-15,"D","Sarnia Sting",1,0,0,0,0,NA
"Adrien Bartovic",2007-03-09,"C","Guelph Storm",2,0,0,0,0,NA
"Aiden Kelly",2010-02-02,"C","Brantford Bulldogs",2,0,0,0,0,0
"Aiden Mowrey",2009-07-02,"D","Barrie Colts",2,0,0,0,0,NA
"Aiden O'Donnell",2008-01-03,"LW","Oshawa Generals",2,0,0,0,0,0
"Aiden Young",2007-04-18,"C","Peterborough Petes",2,0,0,0,0,0
"Aleks Kulemin",2009-03-20,"C","Kingston Frontenacs",2,0,0,0,0,0
"Alex Campeau",2009-03-23,"C","London Knights",2,0,0,0,0,0
"Alex Carscadden",2008-01-13,"C","Guelph Storm",2,0,0,0,0,NA
"Alex Forrest",2009-06-11,"LD","Kitchener Rangers",2,0,0,0,0,0
"Alex McLean",2008-08-08,"C","Kingston Frontenacs",2,0,0,0,0,0
"Alex Milojevic",2009-09-05,"C","Saginaw Spirit",2,0,0,0,0,0
"Alex Misiak",2007-06-22,"LW","Kingston Frontenacs",2,0,0,0,0,0
"Alex Taylor",2009-01-14,"RW","Owen Sound Attack",2,0,0,0,0,NA
"Alexander Hage",2008-02-05,"RW","Niagara IceDogs",2,0,0,0,0,NA
"Alexander Lisi",2009-07-03,"LW","Owen Sound Attack",2,0,0,0,0,NA
"Alexandre Saulnier",2010-04-16,"C","North Bay Battalion",2,0,0,0,0,NA
"André Mondoux",2007-03-16,"D","Kingston Frontenacs",2,0,0,0,0,NA
"Andrew Baker",2009-01-20,"RW","Guelph Storm",2,0,0,0,0,NA
"Andrew Laurin",2010-04-09,"RW","Ottawa 67's",1,0,0,0,0,0
"Andrew MacNiel",2007-07-25,"RD","Kitchener Rangers",2,0,0,0,0,NA
"Anthony Cristoforo",2006-02-23,"D","Windsor Spitfires",2,0,0,0,0,0
"Anthony Figliomeni",2008-09-09,"RW","Barrie Colts",2,0,0,0,0,NA
"Anthony Timmerman",2009-10-13,"LD","Oshawa Generals",2,0,0,0,0,NA
"Anton Gesink",2009-05-02,"RW","Erie Otters",1,0,0,0,0,0
"Arjun Nanubhai",2010-02-21,"C","Brampton Steelheads",2,0,0,0,0,NA
"Arseny Pronin",2007-05-16,"LW","North Bay Battalion",2,0,0,0,0,NA
"Austin Brekelmans",2008-03-08,"LW","North Bay Battalion",1,0,0,0,0,NA
"Avry Anstis",2008-03-05,"RW","Kitchener Rangers",2,0,0,0,0,0
"Beksultan Makysh",2008-05-24,"LW","Windsor Spitfires",2,0,0,0,0,NA
"Blake Barnes",2006-07-31,"LD","Niagara IceDogs",2,0,0,0,0,0
"Blake Barnes",2008-05-14,"D","Saginaw Spirit",1,0,0,0,0,NA
"Blake Clayton",2007-10-23,"C","Sudbury Wolves",2,0,0,0,0,0
"Blake Munnings",2009-01-23,"LD","Niagara IceDogs",2,0,0,0,0,NA
"Bogdan Yakushevsky",2009-01-16,"RW","Windsor Spitfires",2,0,0,0,0,0
"Brady Blaseg",2008-07-21,"LD","Oshawa Generals",1,0,0,0,0,0
"Brady Murnane",2008-04-23,"LD","Oshawa Generals",2,0,0,0,0,NA
"Brady Smith",2008-04-13,"RW","Flint Firebirds",1,0,0,0,0,0
"Brady Smith",2007-04-12,"C","Soo Greyhounds",2,0,0,0,0,NA
"Braeden Van Gelder",2007-06-16,"D","Guelph Storm",2,0,0,0,0,0
"Braidy Wassilyn",2008-05-28,"LW","Saginaw Spirit",2,0,0,0,0,0
"Brayden Bennett",2009-02-05,"C","Sudbury Wolves",2,0,0,0,0,0
"Brayden Krawczyk",2008-02-14,"C","Ottawa 67's",1,0,0,0,0,NA
"Brayden Lappalainen",2009-04-27,"LW","Brantford Bulldogs",2,0,0,0,0,0
"Braydon McCallum",2006-05-03,"RW","Peterborough Petes",2,0,0,0,0,NA
"Brennan Huyck",2008-04-30,"RW","Oshawa Generals",2,0,0,0,0,0
"Brenner Lammens",2009-09-13,"C","Sarnia Sting",1,0,0,0,0,NA
"Brock Chitaroni",2009-01-27,"RW","Ottawa 67's",1,0,0,0,0,NA
"Broden McArthur",2009-02-24,"D","Erie Otters",1,0,0,0,0,0
"Brody Cook",2007-04-06,"RW","Kingston Frontenacs",2,0,0,0,0,0
"Brody George",2008-01-25,"LW","Saginaw Spirit",2,0,0,0,0,NA
"Brody Leet",2007-04-08,"LW","London Knights",2,0,0,0,0,NA
"Brody Pepoy",2008-05-16,"RW","Saginaw Spirit",2,0,0,0,0,0
"Bryson Morgan",2008-03-20,"C","Flint Firebirds",1,0,0,0,0,0
"Caden Bell",2009-01-15,"D","Owen Sound Attack",2,0,0,0,0,NA
"Caden Taylor",2007-03-31,"RW","Oshawa Generals",2,0,0,0,0,0
"Caleb Mitchell",2008-03-17,"D","London Knights",2,0,0,0,0,0
"Callum Cheynowski",2006-08-04,"D","Niagara IceDogs",2,0,0,0,0,0
"Calum Hartnell",2007-06-08,"D","Peterborough Petes",2,0,0,0,0,NA
"Cam Warren",2009-05-07,"C","North Bay Battalion",1,0,0,0,0,0
"Camden McCuaig",2008-06-19,"LW","Brantford Bulldogs",2,0,0,0,0,0
"Cameron Arquette",2007-04-27,"LW","Kitchener Rangers",2,0,0,0,0,0
"Cameron Aucoin",2007-03-20,"D","Sarnia Sting",1,0,0,0,0,NA
