"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Dima Zhilkin","NO",71,2008-10-21,2008,"5.11",195,"LW","Saginaw Spirit",2,3,2,5,2.5,1,1,2,3,0,0,0,0,0,2,1
"Evan Van Gorp","NO",14,2006-05-18,2006,"5.11",180,"LW","London Knights",2,2,3,5,2.5,3,0,0,0,0,0,0,0,1,2,1
"Ryan Kaczynski","NO",89,2009-07-08,2009,"6.03",158,"LW","Soo Greyhounds",2,4,0,4,2,1,2,0,2,0,0,0,0,0,0,1
"Noah Laus","NO",91,2009-02-10,2009,"6.01",193,"LW","Soo Greyhounds",2,3,1,4,2,2,0,1,1,0,0,0,0,0,2,1
"Nolan Snyder","NO",74,2009-04-13,2009,"5.11",180,"RW","Kingston Frontenacs",2,2,2,4,2,3,0,1,1,0,0,0,0,0,0,1
"Braidy Wassilyn","NO",66,2008-05-28,2008,"6.00",194,"LW","Saginaw Spirit",2,2,2,4,2,0,1,1,2,0,0,0,0,0,0,1
"Onni Kalto","NO",78,2006-12-14,2006,"6.02",191,"LW","Oshawa Generals",2,1,3,4,2,0,1,1,2,0,1,1,0,0,0,1
"Jonathan Kapageridis","NO",55,2007-05-08,2007,"6.00",182,"D","London Knights",2,1,3,4,2,2,1,1,2,0,0,0,0,0,0,1
"Noah Read","NO",93,2007-01-06,2007,"6.00",170,"LW","Niagara IceDogs",2,1,3,4,2,3,0,0,0,0,0,0,0,0,2,1
"Levi Harper","NO",4,2008-10-03,2008,"6.00",185,"D","Saginaw Spirit",2,0,4,4,2,-2,0,2,2,0,0,0,0,0,4,1
"Xavier Tessier","NO",81,2008-05-09,2008,"6.01",205,"LW","Flint Firebirds",1,3,0,3,3,3,0,0,0,0,0,0,0,0,0,1
"Kane Cloutier","YES",98,2010-06-14,2010,"6.00",160,"LW","Oshawa Generals",2,2,1,3,1.5,3,0,1,1,0,0,0,1,0,2,1
"Aiden Kelly","YES",66,2010-02-02,2010,"6.00",181,"C","Brantford Bulldogs",2,2,1,3,1.5,2,1,0,1,0,0,0,0,0,0,1
"Cooper McAslan","YES",44,2009-03-16,2009,"6.03",190,"D","London Knights",2,2,1,3,1.5,0,1,0,1,0,0,0,1,0,0,1
"Alex McLean","NO",9,2008-08-08,2008,"5.10",185,"C","Kingston Frontenacs",2,2,1,3,1.5,2,0,0,0,0,0,0,0,0,2,1
"Jason Musa","NO",10,2007-05-09,2007,"5.08",157,"LW","Brantford Bulldogs",2,2,1,3,1.5,3,0,1,1,0,0,0,1,0,2,1
"Reyth Smith","NO",43,2007-07-27,2007,"6.02",179,"LW","Niagara IceDogs",2,2,1,3,1.5,3,0,0,0,0,0,0,1,0,2,1
"Bogdan Yakushevsky","YES",87,2009-01-16,2009,"6.00",182,"RW","Windsor Spitfires",2,2,1,3,1.5,0,1,0,1,0,0,0,0,0,0,1
"Cole Emerton","NO",41,2008-03-04,2008,"5.11",185,"D","Sarnia Sting",1,1,2,3,3,1,1,2,3,0,0,0,0,0,0,1
"Trevor Daley Jr","YES",83,2009-07-11,2009,"5.10",182,"C","Soo Greyhounds",2,1,2,3,1.5,0,1,1,2,0,0,0,1,0,4,1
"Aiden O'Donnell","NO",79,2008-01-03,2008,"6.02",183,"LW","Oshawa Generals",2,1,2,3,1.5,1,0,1,1,0,0,0,0,0,4,1
"Brody Pepoy","NO",62,2008-05-16,2008,"6.01",190,"RW","Saginaw Spirit",2,1,2,3,1.5,1,1,1,2,0,0,0,0,0,0,1
"Landon Wright","NO",36,2006-01-17,2006,"5.11",190,"RW","Kingston Frontenacs",2,1,2,3,1.5,2,0,0,0,0,0,0,0,0,0,1
"Thomas Zocco","NO",11,2006-06-15,2006,"5.11",185,"C","London Knights",2,1,2,3,1.5,0,0,2,2,0,0,0,0,0,2,1
"Jake Murray","NO",80,2009-02-26,2009,"6.01",195,"C","Erie Otters",1,0,3,3,3,3,0,0,0,0,1,1,0,0,0,1
"Harrison Franssen","NO",12,2006-05-04,2006,"6.03",206,"C","Oshawa Generals",2,0,3,3,1.5,4,0,0,0,0,0,0,0,0,2,1
"Kingston Harris","YES",51,2009-02-15,2009,"6.01",164,"C","Sudbury Wolves",2,0,3,3,1.5,3,0,1,1,0,0,0,0,0,0,1
"Robin Kuzma","NO",91,2008-01-29,2008,"6.00",190,"LW","Kingston Frontenacs",2,0,3,3,1.5,4,0,0,0,0,0,0,0,0,0,1
"Colin Kennedy","YES",27,2010-03-10,2010,"5.09",171,"C","Erie Otters",1,2,0,2,2,1,1,0,1,1,0,1,1,0,2,1
"Jack Van Volsen","NO",14,2006-01-12,2006,"6.02",190,"C","Sarnia Sting",1,2,0,2,2,0,2,0,2,0,0,0,1,0,0,1
"Tanner Adams","YES",13,2010-06-03,2010,"6.01",203,"C","Sudbury Wolves",2,2,0,2,1,2,0,0,0,0,0,0,0,0,2,1
"Keaton Ardagh","NO",10,2009-07-08,2009,"6.00",163,"RW","Brampton Steelheads",2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1
"Tyler Hinde","YES",21,2009-06-23,2009,"6.03",173,"C","Oshawa Generals",2,2,0,2,1,1,1,0,1,1,0,1,0,0,0,1
"Tanner Lam","NO",37,2007-07-14,2007,"5.10",160,"RW","Kitchener Rangers",2,2,0,2,1,1,1,0,1,0,0,0,1,1,0,1
"Xavier Lieb","NO",17,2008-03-14,2008,"5.09",165,"C","Brantford Bulldogs",2,2,0,2,1,1,0,0,0,0,0,0,1,0,0,1
"Pierce Mbuyi","NO",21,2008-04-17,2008,"5.11",168,"LW","Owen Sound Attack",2,2,0,2,1,-2,2,0,2,0,0,0,1,0,4,1
"Ulysses Lombardi","NO",89,2008-07-02,2008,"6.01",183,"C","Erie Otters",1,1,1,2,2,1,0,1,1,0,0,0,0,0,0,1
"Brady Smith","NO",11,2008-04-13,2008,"6.00",190,"RW","Flint Firebirds",1,1,1,2,2,3,1,0,1,0,0,0,1,0,0,1
"Joey Banas","NO",34,2008-03-31,2008,"5.08",170,"RW","Brantford Bulldogs",2,1,1,2,1,2,1,0,1,0,0,0,0,0,2,1
"Max Brocklehurst","NO",42,2008-12-30,2008,"5.09",170,"RW","Windsor Spitfires",2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1
"Blake Clayton","NO",19,2007-10-23,2007,"6.01",175,"C","Sudbury Wolves",2,1,1,2,1,2,0,1,1,0,0,0,0,0,4,1
"Dante D'Andrea","YES",92,2009-01-22,2009,"6.01",180,"D","Kingston Frontenacs",2,1,1,2,1,5,0,0,0,0,0,0,0,0,0,1
"Layne Gallacher","NO",73,2008-02-16,2008,"6.01",180,"C","Niagara IceDogs",2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1
"Drake Gram","NO",25,2008-01-16,2008,"5.10",188,"D","Windsor Spitfires",2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1
"Rowan Henderson","NO",77,2007-12-10,2007,"6.00",183,"LW","Sudbury Wolves",2,1,1,2,1,2,0,0,0,1,0,1,1,0,0,1
"Leon Kolarik","NO",12,2007-09-23,2007,"5.11",175,"LW","Peterborough Petes",2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,1
"Aleks Kulemin","NO",41,2009-03-20,2009,"6.04",190,"C","Kingston Frontenacs",2,1,1,2,1,3,1,0,1,0,0,0,1,0,2,1
"Brayden Lappalainen","YES",21,2009-04-27,2009,"5.11",170,"LW","Brantford Bulldogs",2,1,1,2,1,3,1,0,1,0,0,0,0,0,0,1
"Eloan Le Gallic","YES",29,2009-02-06,2009,"6.01",165,"C","London Knights",2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1
"Jake Ritson","YES",37,2009-02-12,2009,"6.01",190,"LW","London Knights",2,1,1,2,1,2,0,0,0,0,0,0,1,0,0,1
"Caden Taylor","NO",96,2007-03-31,2007,"6.03",189,"RW","Oshawa Generals",2,1,1,2,1,-1,1,0,1,0,0,0,1,0,0,1
"Logan Hawery","NO",26,2008-03-15,2008,"5.10",170,"C","Sarnia Sting",1,0,2,2,2,0,0,2,2,0,0,0,0,0,2,1
"Cooper Williams","NO",9,2007-04-18,2007,"5.09",167,"LW","Flint Firebirds",1,0,2,2,2,1,0,1,1,0,0,0,0,0,2,1
"Cameron Arquette","NO",11,2007-04-27,2007,"5.08",170,"LW","Kitchener Rangers",2,0,2,2,1,1,0,1,1,0,0,0,0,0,4,1
"John Banks","NO",12,2007-04-16,2007,"5.09",171,"D","Owen Sound Attack",2,0,2,2,1,-1,0,2,2,0,0,0,0,0,0,1
"Kane Barch","YES",10,2009-03-13,2009,"6.00",192,"C","London Knights",2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1
"Nolan Buttar","NO",22,2008-05-23,2008,"6.02",205,"LW","Kingston Frontenacs",2,0,2,2,1,2,0,0,0,0,0,0,0,0,2,1
"Cooper Dennis","NO",24,2007-05-07,2007,"5.06",151,"RW","Peterborough Petes",2,0,2,2,1,-4,0,2,2,0,0,0,0,0,0,1
"Carson Harmer","NO",23,2007-01-13,2007,"5.10",195,"C","London Knights",2,0,2,2,1,0,0,1,1,0,0,0,0,0,2,1
"George Komadoski","NO",2,2008-08-03,2008,"6.04",210,"D","Brantford Bulldogs",2,0,2,2,1,2,0,0,0,0,0,0,0,0,7,1
"Leo Laschon","NO",86,2008-03-19,2008,"6.02",198,"LD","Oshawa Generals",2,0,2,2,1,4,0,0,0,0,0,0,0,0,0,1
"Yanis Lutz","NO",44,2008-05-11,2008,"5.11",160,"C","Peterborough Petes",2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"Camden McCuaig","NO",20,2008-06-19,2008,"6.02",195,"LW","Brantford Bulldogs",2,0,2,2,1,2,0,1,1,0,0,0,0,0,0,1
