"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Matt D'Agostini",1986-10-23,"RW","Guelph Storm",15,2,1,3,0.2,11
"Daniel Ryder",1987-01-12,"C","Peterborough Petes",19,2,0,2,0.11,6
"James Neal",1987-09-03,"LW","Plymouth Whalers",13,2,0,2,0.15,12
"Jeff Kyrzakos",1985-02-06,"RW","Owen Sound Attack",11,2,0,2,0.18,15
"Jordan Staal",1988-09-10,"C","Peterborough Petes",19,2,0,2,0.11,12
"Jordan Foreman",1987-01-06,"C","London Knights",18,1,1,2,0.11,40
"Mike Angelidis",1985-06-27,"LW","Owen Sound Attack",11,1,1,2,0.18,14
"Ryan Callahan",1985-03-21,"RW","Guelph Storm",13,1,1,2,0.15,8
"Bobby Sanguinetti",1988-02-29,"D","Owen Sound Attack",11,0,2,2,0.18,13
"Sergei Kostitsyn",1987-03-20,"RW","London Knights",19,0,2,2,0.11,5
"Andrew Marshall",1986-08-07,"D","Barrie Colts",14,1,0,1,0.07,11
"Benoit Pouliot",1986-09-29,"LW","Sudbury Wolves",8,1,0,1,0.12,9
"Billy Burke",1986-06-26,"C","Barrie Colts",14,1,0,1,0.07,33
"Bryan Little",1987-11-12,"C","Barrie Colts",14,1,0,1,0.07,4
"Chris Stewart",1987-10-30,"RW","Kingston Frontenacs",6,1,0,1,0.17,50
"David Bolland",1986-06-05,"RW","London Knights",15,1,0,1,0.07,4
"Derek Brochu",1987-05-06,"RW","Owen Sound Attack",11,1,0,1,0.09,33
"John Vigilante",1985-05-24,"LW","Plymouth Whalers",13,1,0,1,0.08,6
"Kevin Baker",1987-03-27,"C","Sudbury Wolves",10,1,0,1,0.1,11
"Marcus Carroll",1989-01-15,"C","Owen Sound Attack",11,1,0,1,0.09,100
"Mark Versteeg-Lytwyn",1986-11-27,"LW","Sudbury Wolves",10,1,0,1,0.1,20
"Matt Caria",1988-08-16,"C","Toronto St. Michael's Majors",4,1,0,1,0.25,33
"Michal Birner",1986-03-02,"RW","Saginaw Spirit",4,1,0,1,0.25,25
"Mike McLean",1986-01-06,"LW","Guelph Storm",15,1,0,1,0.07,12
"Mike Mills",1986-05-27,"RW","Sudbury Wolves",10,1,0,1,0.1,100
"Mike Roelofsen",1987-03-19,"C","Barrie Colts",14,1,0,1,0.07,33
"Peder Skinner",1986-07-11,"C","Kingston Frontenacs",6,1,0,1,0.17,25
"Rob Schremp",1986-07-01,"C","London Knights",19,1,0,1,0.05,2
"Robbie Drummond",1986-02-19,"RW","London Knights",19,1,0,1,0.05,8
"Scott Giles",1987-01-19,"C","Owen Sound Attack",11,1,0,1,0.09,20
"Shawn Matthias",1988-02-19,"C","Belleville Bulls",6,1,0,1,0.17,33
"Travis Fuller",1986-01-25,"LW","Barrie Colts",14,1,0,1,0.07,5
"Wojtek Wolski",1986-02-24,"LW","Brampton Battalion",11,1,0,1,0.09,6
"Andrew Fournier",1987-11-05,"C","Plymouth Whalers",13,0,1,1,0.08,9
"Ben Shutron",1988-06-14,"D","Kingston Frontenacs",6,0,1,1,0.17,50
"Cory Tanaka",1988-05-17,"C","Belleville Bulls",6,0,1,1,0.17,25
"David Pszenyczny",1985-02-18,"D","Barrie Colts",14,0,1,1,0.07,7
"Gary Friesen",1987-04-28,"C","Sudbury Wolves",3,0,1,1,0.33,100
"Hunter Tremblay",1986-01-15,"LW","Barrie Colts",14,0,1,1,0.07,8
"Jamie Tardif",1985-01-23,"RW","Peterborough Petes",19,0,1,1,0.05,8
"Jeff Larsh",1985-01-24,"RW","Toronto St. Michael's Majors",4,0,1,1,0.25,25
"Justin Wallingford",1987-05-12,"D","Kingston Frontenacs",6,0,1,1,0.17,100
"Marc Staal",1987-01-13,"D","Sudbury Wolves",10,0,1,1,0.1,12
"Mark O'Leary",1985-01-21,"LW","Guelph Storm",13,0,1,1,0.08,17
"Matthew Bragg",1987-06-12,"C","Barrie Colts",14,0,1,1,0.07,25
"Michael Caruso",1988-07-05,"D","Guelph Storm",15,0,1,1,0.07,33
"Nick Foligno",1987-10-31,"C","Sudbury Wolves",10,0,1,1,0.1,25
"Nick Tuzzolino",1986-01-19,"D","Sudbury Wolves",10,0,1,1,0.1,33
"Ryan Hastings",1985-08-03,"D","Sudbury Wolves",10,0,1,1,0.1,33
"Ryan McGinnis",1987-03-03,"D","Plymouth Whalers",11,0,1,1,0.09,14
"Scott Tregunna",1987-06-12,"RW","Owen Sound Attack",11,0,1,1,0.09,20
"Theo Peckham",1987-11-10,"D","Owen Sound Attack",11,0,1,1,0.09,14
"Trevor Hendrikx",1985-03-29,"D","Peterborough Petes",19,0,1,1,0.05,7
"Trevor Kell",1986-06-23,"RW","London Knights",19,0,1,1,0.05,20
"Vaclav Meidl",1986-05-27,"LW","Saginaw Spirit",4,0,1,1,0.25,100
"Aaron Dawson",1985-03-11,"D","Peterborough Petes",19,0,0,0,0,0
"Aaron Snow",1988-05-20,"LW","Brampton Battalion",11,0,0,0,0,0
"Adam McQuaid",1986-10-12,"D","Sudbury Wolves",10,0,0,0,0,0
"Adam Nemeth",1986-02-22,"D","Kingston Frontenacs",6,0,0,0,0,0
"Adam Perry",1987-01-12,"LW","London Knights",19,0,0,0,0,0
"Adam Zamec",1989-09-22,"LW","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Akim Aliu",1989-04-24,"RW","Sudbury Wolves",6,0,0,0,0,0
"Alex Penner",1986-08-22,"LW","Sault Ste. Marie Greyhounds",4,0,0,0,0,NA
"Andrej Sekera",1986-06-08,"D","Owen Sound Attack",11,0,0,0,0,0
"Andrew Campbell",1988-02-04,"D","Sault Ste. Marie Greyhounds",3,0,0,0,0,NA
"Andrew Desjardins",1986-07-27,"C","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Andrew Gibbons",1986-08-12,"RW","Belleville Bulls",6,0,0,0,0,0
"Andrew Kizito",1987-02-24,"D","Kingston Frontenacs",6,0,0,0,0,0
"Andrew Maksym",1986-02-16,"RW","Belleville Bulls",1,0,0,0,0,NA
"Andrew Self",1987-01-08,"LW","Belleville Bulls",6,0,0,0,0,0
"Andrew Shennan",1985-02-19,"RW","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Andrew Wilkins",1988-07-25,"D","London Knights",14,0,0,0,0,0
"Andy Hyvarinen",1987-12-29,"LW","Guelph Storm",14,0,0,0,0,0
"Anton Hedman",1986-05-15,"RW","Sudbury Wolves",8,0,0,0,0,0
"Arron Alphonso",1988-11-14,"RW","Ottawa 67's",4,0,0,0,0,0
"Blake Parlett",1989-05-13,"D","Barrie Colts",14,0,0,0,0,0
"Blake Pronk",1986-07-18,"LW","Kingston Frontenacs",6,0,0,0,0,0
