"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Stephen Heming","6.07",202,"London Knights",1990-01-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Peters","6.01",196,"Saginaw Spirit",1990-12-31,1,3,3,1,13.65,0,0,0,0,0,0,0,0,0,0,0
"JP Anderson","6.00",195,"Mississauga St. Michael's Majors",1992-04-27,11,376,405,0.928,34.86,29,2.5,0,6,4,1,5,0,0,0,0
"Mike Murphy","5.11",165,"Belleville Bulls",1989-01-15,17,467,510,0.916,30.39,43,2.56,0,10,7,0,7,0,0,0,0
"Andrew Loverock","6.03",189,"Sudbury Wolves",1989-07-29,6,210,226,0.929,37.67,16,2.67,0,2,4,0,4,0,0,0,0
"Trevor Cann","5.11",190,"London Knights",1989-03-30,13,394,432,0.912,32.2,38,2.83,0,9,1,3,4,0,0,0,0
"Andrew Engelage","6.05",206,"Windsor Spitfires",1988-10-28,20,525,578,0.908,31.18,53,2.86,0,14,2,1,3,0,0,0,2
"Thomas McCollum","6.02",208,"Brampton Battalion",1989-12-07,21,546,608,0.898,28.42,62,2.9,1,13,5,3,8,0,0,0,2
"Jake Fischer","6.03",192,"Guelph Storm",1989-02-15,1,44,47,0.936,47,3,3,0,0,1,0,1,0,0,0,0
"Adam Courchaine","6.03",185,"Ottawa 67's",1989-02-20,5,162,176,0.92,37.75,14,3,1,2,2,1,3,0,0,0,0
"Matt Hackett","6.03",170,"Plymouth Whalers",1990-03-07,11,422,454,0.93,42.67,32,3.01,1,6,5,0,5,0,0,0,4
"Peter Di Salvo","6.00",196,"Barrie Colts",1990-11-14,4,147,160,0.919,38.59,13,3.14,0,1,1,1,2,0,0,0,0
"Josh Unice","6.00",176,"Windsor Spitfires",1989-06-24,3,51,57,0.895,29.96,6,3.15,0,2,1,0,1,0,0,0,0
"Jeremy Smith","6.00",170,"Niagara IceDogs",1989-04-13,12,482,527,0.915,43.67,45,3.73,1,5,5,2,7,0,0,0,2
"Edward Pasquale","6.02",216,"Saginaw Spirit",1990-11-20,8,291,325,0.895,36.81,34,3.85,0,4,4,0,4,0,0,0,0
"Chris Perugini","5.11",152,"Ottawa 67's",1991-02-06,3,82,91,0.901,39,9,3.86,0,1,1,0,1,0,0,0,0
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,3,131,147,0.891,36.25,16,3.95,0,0,1,2,3,0,0,0,0
"Dan Spence","6.00",185,"Sarnia Sting",1988-01-17,5,184,203,0.906,43.01,19,4.03,1,1,3,1,4,0,0,0,0
"Jaroslav Janus","6.00",190,"Erie Otters",1989-09-21,5,176,196,0.898,41.26,20,4.21,1,1,4,0,4,0,0,0,2
"Jason Missiaen","6.08",220,"Peterborough Petes",1990-05-25,4,160,177,0.904,44.08,17,4.23,0,0,3,1,4,0,0,0,0
"Philipp Grubauer","6.00",170,"Belleville Bulls",1991-11-25,1,37,41,0.902,43.64,4,4.26,0,0,0,0,0,0,0,0,0
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,3,27,29,0.931,66.92,2,4.62,0,0,0,0,0,0,0,0,0
"Daryl Borden","6.03",200,"London Knights",1989-05-19,1,25,30,0.833,29.52,5,4.92,0,0,0,1,1,0,0,0,0
"Shane Owen","6.01",190,"Erie Otters",1990-06-04,1,6,7,0.857,36,1,5.14,0,0,0,0,0,0,0,0,0
"Michael Hutchinson","6.03",185,"Barrie Colts",1990-03-02,3,68,78,0.872,41.9,10,5.37,0,0,2,0,2,0,0,0,0
"Shayne Campbell","6.02",190,"Sarnia Sting",1992-11-16,1,12,14,0.857,37.95,2,5.42,0,0,0,0,0,0,0,0,0
"Chris Carrozzi","6.02",185,"Mississauga St. Michael's Majors",1990-03-02,2,16,19,0.842,34.99,3,5.52,0,0,0,0,0,0,0,0,0
"Scott Stajcer","6.03",196,"Owen Sound Attack",1991-06-14,4,191,211,0.905,60.13,20,5.7,0,0,3,0,3,0,0,0,2
"Patrick Killeen","6.04",204,"Brampton Battalion",1990-04-15,2,17,21,0.81,48.65,4,9.27,0,0,0,0,0,0,0,0,0
"Tyler Beskorowany","6.05",204,"Owen Sound Attack",1990-04-28,1,18,23,0.783,51.33,5,11.16,0,0,1,0,1,0,0,0,0
