"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Vincent Trocheck",1993-07-11,"C","Saginaw Spirit",68,5,3,8,0.12,13
"Brandon Saad",1992-10-27,"LW","Saginaw Spirit",59,2,6,8,0.14,15
"Kale Kerbashian",1990-04-07,"LW","Sarnia Sting",68,6,1,7,0.1,8
"Andy Andreoff",1991-05-17,"LW","Oshawa Generals",66,4,3,7,0.11,9
"Kenny Ryan",1991-07-10,"RW","Windsor Spitfires",63,4,3,7,0.11,12
"Marcus Foligno",1991-08-10,"LW","Sudbury Wolves",47,5,1,6,0.13,10
"Andrew Shaw",1991-07-20,"C","Owen Sound Attack",66,4,2,6,0.09,11
"Shawn Szydlowski",1990-08-05,"RW","Erie Otters",66,4,2,6,0.09,8
"Tyler G. Brown",1990-02-07,"LW","Plymouth Whalers",67,4,2,6,0.09,10
"Tyler Toffoli",1992-04-24,"RW","Ottawa 67's",68,4,2,6,0.09,6
"Jordan Szwarz",1991-05-14,"RW","Saginaw Spirit",65,3,3,6,0.09,9
"Liam Heelis",1990-09-28,"RW","Owen Sound Attack",68,3,3,6,0.09,11
"Josh Shalla",1991-09-25,"LW","Saginaw Spirit",68,5,0,5,0.07,7
"Michael Sgarbossa",1992-07-25,"C","Sudbury Wolves",63,4,1,5,0.08,6
"Craig Hottot",1992-02-15,"RW","Sarnia Sting",63,3,2,5,0.08,20
"Daniel Catenacci",1993-03-09,"C","Sault Ste. Marie Greyhounds",67,1,4,5,0.07,7
"Joey Hishon",1991-10-20,"C","Owen Sound Attack",50,4,0,4,0.08,5
"Justin Shugg",1991-12-24,"RW","Mississauga St. Michaels Majors",66,4,0,4,0.06,5
"Stephen Sanza",1990-03-08,"RW","London Knights",65,4,0,4,0.06,9
"Casey Cizikas",1991-02-27,"C","Mississauga St. Michaels Majors",52,3,1,4,0.08,6
"Eric Locke",1993-11-21,"C","Barrie Colts",65,3,1,4,0.06,7
"Freddie Hamilton",1992-01-01,"LW","Niagara IceDogs",68,3,1,4,0.06,5
"Garrett Hooey",1994-06-02,"C","Sarnia Sting",62,3,1,4,0.06,36
"Michael Latta",1991-05-25,"C","Guelph Storm",68,3,1,4,0.06,4
"Ryan Spooner",1992-01-30,"C","Kingston Frontenacs",64,3,1,4,0.06,5
"Andrew Agozzino",1991-01-03,"C","Niagara IceDogs",68,2,2,4,0.06,5
"Garrett Wilson",1991-03-16,"LW","Owen Sound Attack",66,2,2,4,0.06,5
"Robby Mignardi",1990-06-28,"RW","Owen Sound Attack",68,2,2,4,0.06,7
"Ryan Ellis",1991-01-03,"D","Windsor Spitfires",58,2,2,4,0.07,4
"Ben Chiarot",1991-05-09,"D","Saginaw Spirit",64,1,3,4,0.06,11
"Jesse Blacker",1991-04-19,"D","Owen Sound Attack",62,1,3,4,0.06,7
"Frank Corrado",1993-03-26,"D","Sudbury Wolves",67,0,4,4,0.06,13
"Marc Zanetti",1991-05-20,"D","Ottawa 67's",55,0,4,4,0.07,11
"Andreas Athanasiou",1994-08-06,"LW","London Knights",57,3,0,3,0.05,14
"Carson Dubchak",1991-03-01,"RW","Sault Ste. Marie Greyhounds",67,3,0,3,0.04,8
"Darren Archibald",1990-02-09,"LW","Niagara IceDogs",61,3,0,3,0.05,5
"Greg McKegg",1992-06-17,"C","Erie Otters",66,3,0,3,0.05,3
"John McFarland",1992-04-02,"C","Saginaw Spirit",49,3,0,3,0.06,8
"Peter Neal",1991-10-02,"C","Plymouth Whalers",43,3,0,3,0.07,43
"Phil Varone",1990-12-04,"C","Erie Otters",59,3,0,3,0.05,4
"Robbie Czarnik",1990-01-25,"C","Plymouth Whalers",61,3,0,3,0.05,4
"Thomas Nesbitt",1990-06-20,"RW","Ottawa 67's",65,3,0,3,0.05,5
"Boone Jenner",1993-06-15,"C","Oshawa Generals",63,2,1,3,0.05,5
"Brett Thompson",1991-01-31,"C","Erie Otters",67,2,1,3,0.04,4
"Colin Behenna",1991-06-06,"C","Barrie Colts",67,2,1,3,0.04,3
"James Livingston",1990-03-08,"RW","Plymouth Whalers",62,2,1,3,0.05,6
"Lucas Lessio",1993-01-23,"LW","Oshawa Generals",66,2,1,3,0.05,6
"Michael Fine",1991-05-10,"RW","Kingston Frontenacs",63,2,1,3,0.05,6
"Michael MacDonald",1991-05-22,"LW","Sudbury Wolves",48,2,1,3,0.06,8
"Mike Cazzola",1991-03-08,"C","Erie Otters",50,2,1,3,0.06,4
"Tyler Peters",1990-01-25,"LW","Sarnia Sting",68,2,1,3,0.04,5
"Adrian Robertson",1991-05-31,"D","Windsor Spitfires",55,1,2,3,0.05,12
"Alain Berger",1990-12-27,"LW","Oshawa Generals",65,1,2,3,0.05,6
"Brett Ritchie",1993-07-01,"RW","Sarnia Sting",49,1,2,3,0.06,7
"Devante Smith-Pelly",1992-06-14,"LW","Mississauga St. Michaels Majors",67,1,2,3,0.04,5
"Josh McFadden",1991-05-23,"D","Sudbury Wolves",67,1,2,3,0.04,4
"Rob Flick",1991-03-28,"C","Mississauga St. Michaels Majors",68,1,2,3,0.04,5
"Scott Harrington",1993-03-10,"D","London Knights",67,1,2,3,0.04,14
"Vern Cooper",1990-12-30,"LW","Sault Ste. Marie Greyhounds",56,1,2,3,0.05,5
"Brett Flemming",1991-02-26,"D","Mississauga St. Michaels Majors",68,0,3,3,0.04,7
"Daniel Broussard",1991-01-09,"D","Sarnia Sting",68,0,3,3,0.04,16
"RJ Mahalak",1991-12-23,"LW","Plymouth Whalers",56,0,3,3,0.05,16
"Ryan O'Connor",1992-01-12,"D","Saginaw Spirit",53,0,3,3,0.06,7
"Austin Watson",1992-01-13,"C","Peterborough Petes",68,2,0,2,0.03,3
"Christian Thomas",1992-05-26,"RW","Oshawa Generals",66,2,0,2,0.03,2
"Jamie Devane",1991-02-20,"LW","Plymouth Whalers",63,2,0,2,0.03,5
"Peter Holland",1991-01-14,"C","Guelph Storm",67,2,0,2,0.03,2
"Ryan Strome",1993-07-11,"C","Niagara IceDogs",65,2,0,2,0.03,2
"Tobias Rieder",1993-01-10,"RW","Kitchener Rangers",65,2,0,2,0.03,4
"Alex Aleardi",1992-07-30,"C","Plymouth Whalers",57,1,1,2,0.04,5
"Alex Friesen",1991-01-30,"C","Niagara IceDogs",60,1,1,2,0.03,3
"Craig Duininck",1993-04-29,"D","Windsor Spitfires",66,1,1,2,0.03,9
"Dalton Smith",1992-06-30,"LW","Ottawa 67's",64,1,1,2,0.03,7
"Dario Trutmann",1992-09-17,"D","Plymouth Whalers",62,1,1,2,0.03,11
"Erik Gudbranson",1992-01-07,"D","Kingston Frontenacs",44,1,1,2,0.05,6
"Geoffrey Schemitsch",1992-04-01,"D","Owen Sound Attack",45,1,1,2,0.04,10
"Gregory Jambrosich",1993-08-12,"C","Sudbury Wolves",68,1,1,2,0.03,12
