"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Olli Maatta",1994-08-22,"D","London Knights",19,6,17,23,1.21,11,1,10,2,0,2
"Max Domi",1995-03-02,"C","London Knights",19,4,5,9,0.47,4,0,2,0,0,10
"Brett Gustavsen",1994-03-13,"LW","Ottawa 67's",17,3,3,6,0.35,3,0,0,1,0,14
"Josh MacDonald",1994-03-26,"LW","Barrie Colts",13,2,4,6,0.46,3,0,1,0,0,2
"Radek Faksa",1994-01-09,"C","Kitchener Rangers",13,2,4,6,0.46,-3,1,2,1,0,10
"Jason Dickinson",1995-07-04,"LW","Guelph Storm",6,3,2,5,0.83,-1,1,0,0,0,6
"Aaron Ekblad",1996-02-07,"D","Barrie Colts",13,2,3,5,0.38,-1,0,1,0,0,8
"Chris Bigras",1995-02-22,"D","Owen Sound Attack",5,2,3,5,1,5,1,2,0,0,0
"Josh Anderson",1994-05-07,"RW","London Knights",19,2,3,5,0.26,4,0,0,0,0,4
"Bo Horvat",1995-04-05,"LW","London Knights",18,1,3,4,0.22,0,0,0,0,0,0
"Erik Bradford",1994-10-19,"C","Barrie Colts",13,2,1,3,0.23,1,0,1,0,1,2
"Carter Verhaeghe",1995-08-14,"C","Niagara IceDogs",19,1,2,3,0.16,3,0,0,0,0,2
"Daniil Zharkov",1994-02-06,"LW","Belleville Bulls",6,1,2,3,0.5,-3,0,1,0,0,2
"Jake Dotchin",1994-03-24,"D","Owen Sound Attack",5,0,3,3,0.6,2,0,0,0,0,8
"Jamie Lewis",1994-08-22,"C","Brampton Battalion",8,2,0,2,0.25,0,0,0,0,0,0
"Brett Welychka",1994-03-03,"C","London Knights",4,1,1,2,0.5,2,0,0,0,0,7
"Jordan Maletta",1995-04-30,"RW","Windsor Spitfires",4,1,1,2,0.5,-1,1,1,0,0,6
"Nathan Pancel",1994-01-05,"LW","Sudbury Wolves",4,1,1,2,0.5,-1,0,0,0,0,6
"Patrik Machac",1994-04-23,"C","Brampton Battalion",8,1,1,2,0.25,-2,1,0,0,0,8
"Adam Bateman",1995-01-05,"D","Windsor Spitfires",4,0,2,2,0.5,-1,0,0,0,0,0
"Ben Johnson",1994-06-07,"LW","Windsor Spitfires",4,0,2,2,0.5,-1,0,1,0,0,0
"Brenden Miller",1994-03-29,"D","Brampton Battalion",8,0,2,2,0.25,0,0,2,0,0,6
"Josh Sterk",1995-01-17,"C","Kitchener Rangers",16,0,2,2,0.13,-4,0,0,0,0,13
"Sean Callaghan",1994-02-08,"D","Ottawa 67's",17,0,2,2,0.12,1,0,0,0,0,15
"Sergey Kuptsov",1994-10-06,"RW","Mississauga St. Michaels Majors",6,0,2,2,0.33,0,0,0,0,0,6
"Tyler Bertuzzi",1995-02-24,"LW","Guelph Storm",6,0,2,2,0.33,0,0,0,0,0,7
"Anthony DeAngelo",1995-10-24,"D","Sarnia Sting",6,1,0,1,0.17,0,0,0,0,0,2
"Cole Cassels",1995-05-04,"C","Oshawa Generals",6,1,0,1,0.17,0,0,0,0,0,6
"Curtis Meighan",1994-03-27,"C","Kitchener Rangers",15,1,0,1,0.07,0,0,0,1,0,4
"Michael Clarke",1994-04-29,"C","Windsor Spitfires",4,1,0,1,0.25,1,0,0,0,0,4
"Spenser Cobbold",1994-08-13,"LW","Mississauga St. Michaels Majors",6,1,0,1,0.17,-2,0,0,1,0,0
"Trevor Carrick",1994-07-04,"D","Mississauga St. Michaels Majors",6,1,0,1,0.17,-1,0,0,1,0,7
"Trevor Petersen",1994-10-09,"LW","Niagara IceDogs",8,1,0,1,0.13,1,0,0,0,0,0
"Zach Nastasiuk",1995-03-30,"RW","Owen Sound Attack",5,1,0,1,0.2,3,0,0,0,0,0
"Andrew Goldberg",1994-11-09,"RW","Mississauga St. Michaels Majors",6,0,1,1,0.17,-1,0,0,0,0,2
"Brandon Robinson",1995-10-13,"LW","Brampton Battalion",6,0,1,1,0.17,-1,0,1,0,0,4
"Brent Pedersen",1995-07-05,"LW","Kitchener Rangers",16,0,1,1,0.06,1,0,0,0,0,0
"Hunter Garlent",1995-02-04,"C","Guelph Storm",6,0,1,1,0.17,-1,0,0,0,0,0
"Joseph Blandisi",1994-07-18,"C","Owen Sound Attack",5,0,1,1,0.2,-3,0,0,0,0,8
"Mike Vlajkov",1995-02-03,"D","Ottawa 67's",12,0,1,1,0.08,-2,0,1,0,0,4
"Alex Yuill",1995-05-27,"D","Barrie Colts",8,0,0,0,0,-2,0,0,0,0,0
"Andres Kopstals",1994-02-14,"C","Mississauga St. Michaels Majors",5,0,0,0,0,-1,0,0,0,0,5
"Artur Gavrus",1994-01-03,"C","Owen Sound Attack",1,0,0,0,0,0,0,0,0,0,0
"Brandon Lesway",1994-03-24,"RW","Kitchener Rangers",10,0,0,0,0,-1,0,0,0,0,0
