"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Mitchell Marner","NO",93,1997-05-05,1997,"5.11",164,"RW","London Knights",18,16,28,44,2.44,30,3,10,13,2,0,2,1,3,8,1
"Matthew Tkachuk","NO",7,1997-12-11,1997,"6.01",195,"LW","London Knights",18,20,20,40,2.22,23,8,6,14,0,0,0,3,3,42,1
"Christian  Dvorak","NO",10,1996-02-02,1996,"6.01",196,"C","London Knights",18,14,21,35,1.94,29,5,6,11,0,2,2,1,1,4,1
"Kevin  Labanc","NO",12,1995-12-12,1995,"5.11",179,"RW","Barrie Colts",15,6,20,26,1.73,14,2,4,6,2,1,3,1,1,28,1
"Josh Ho-Sang","NO",26,1996-01-22,1996,"6.00",170,"RW","Niagara IceDogs",17,6,20,26,1.53,3,0,12,12,0,0,0,1,1,8,1
"Dylan Strome","NO",19,1997-03-07,1997,"6.03",198,"C","Erie Otters",13,10,11,21,1.62,7,3,5,8,1,0,1,2,3,12,1
"Andrew Mangiapane","NO",26,1996-04-04,1996,"5.10",182,"LW","Barrie Colts",15,10,11,21,1.4,14,3,1,4,2,1,3,2,1,14,1
"Justin Scott","NO",17,1995-08-13,1995,"6.01",195,"C","Barrie Colts",15,17,3,20,1.33,12,1,1,2,0,0,0,2,1,8,1
"Alex DeBrincat","NO",12,1997-12-18,1997,"5.07",170,"RW","Erie Otters",13,8,11,19,1.46,5,2,4,6,0,0,0,0,0,13,1
"Mike Amadio","NO",18,1996-05-13,1996,"6.01",196,"C","North Bay Battalion",11,12,6,18,1.64,-3,4,2,6,1,0,1,1,1,10,1
"Michael Dal Colle","NO",71,1996-06-20,1996,"6.02",198,"LW","Kingston Frontenacs",9,6,12,18,2,9,2,4,6,0,0,0,1,0,2,1
"Pavel Jenys","NO",21,1996-04-02,1996,"6.03",203,"RW","Niagara IceDogs",17,8,9,17,1,6,4,0,4,0,0,0,1,0,4,1
"Spencer Watson","NO",96,1996-04-25,1996,"5.11",170,"RW","Kingston Frontenacs",9,3,14,17,1.89,7,1,5,6,0,0,0,0,0,2,1
"Stephen Harper","NO",12,1995-03-25,1995,"6.03",215,"C","Niagara IceDogs",17,6,10,16,0.94,5,2,5,7,0,0,0,0,1,2,1
"Rasmus Andersson","NO",19,1996-10-27,1996,"6.00",210,"D","Barrie Colts",15,2,13,15,1,8,0,6,6,1,0,1,0,0,16,1
"Jeremy Bracco","NO",97,1997-03-17,1997,"5.10",190,"RW","Kitchener Rangers",9,3,11,14,1.56,0,1,7,8,0,0,0,1,0,0,1
"Travis  Dermott","NO",44,1996-12-22,1996,"5.11",207,"D","Erie Otters",13,3,11,14,1.08,7,1,3,4,0,0,0,0,1,14,1
"Olli Juolevi","YES",4,1998-05-05,1998,"6.02",188,"D","London Knights",18,3,11,14,0.78,15,1,3,4,0,0,0,1,0,4,1
"Cliff Pu","NO",63,1998-06-03,1998,"6.02",196,"C","London Knights",18,8,5,13,0.72,9,0,0,0,2,1,3,2,0,6,1
"Pavel Zacha","NO",14,1997-04-06,1997,"6.03",213,"LW","Sarnia Sting",7,6,7,13,1.86,6,4,5,9,0,0,0,1,0,16,1
"Ryan MacInnis","NO",72,1996-02-14,1996,"6.04",191,"C","Kitchener Rangers",9,5,8,13,1.44,0,2,2,4,0,0,0,0,0,8,1
"Kyle Wood","NO",3,1996-05-04,1996,"6.05",223,"D","North Bay Battalion",11,2,11,13,1.18,-7,1,6,7,0,1,1,0,0,2,1
"Alexander Nylander","YES",92,1998-03-02,1998,"6.00",172,"LW","Mississauga Steelheads",6,6,6,12,2,1,2,2,4,0,0,0,0,1,2,1
"Adam Mascherin","NO",23,1998-06-06,1998,"5.09",197,"LW","Kitchener Rangers",9,6,6,12,1.33,-4,2,4,6,0,0,0,0,0,0,1
"Vince Dunn","NO",4,1996-10-29,1996,"6.00",185,"D","Niagara IceDogs",12,5,7,12,1,0,3,5,8,0,0,0,1,0,10,1
"Roland McKeown","NO",20,1996-01-20,1996,"6.2",195,"D","Kingston Frontenacs",9,3,9,12,1.33,5,0,3,3,0,1,1,0,0,6,1
"JJ Piccinich","NO",84,1996-06-12,1996,"6.00",189,"RW","London Knights",18,2,10,12,0.67,1,0,2,2,0,0,0,1,0,4,1
"Lawson Crouse","NO",67,1997-06-23,1997,"6.04",210,"LW","Kingston Frontenacs",9,7,4,11,1.22,2,3,1,4,2,0,2,0,1,2,1
"Bobby MacIntyre","NO",24,1996-09-08,1996,"5.09",191,"LW","Sault Ste. Marie Greyhounds",11,5,6,11,1,2,0,4,4,0,0,0,1,0,12,1
"Mathew Santos","NO",26,1995-03-16,1995,"6.00",209,"RW","North Bay Battalion",11,5,6,11,1,0,2,1,3,0,0,0,1,0,18,1
"Aaron Berisha","NO",72,1995-03-05,1995,"5.10",190,"RW","London Knights",18,5,6,11,0.61,6,1,2,3,0,1,1,1,0,6,1
"Jake Marchment","NO",27,1995-05-20,1995,"6.04",220,"C","Erie Otters",13,4,7,11,0.85,-1,1,2,3,1,0,1,0,0,2,1
"Victor Mete","NO",98,1998-06-07,1998,"5.10",189,"D","London Knights",18,4,7,11,0.61,15,0,2,2,0,1,1,1,1,0,1
"Jordan Maletta","NO",9,1995-04-30,1995,"6.03",215,"C","Niagara IceDogs",17,2,9,11,0.65,-1,0,2,2,0,0,0,2,0,15,1
"Warren Foegele","NO",3,1996-04-01,1996,"6.02",190,"C","Kingston Frontenacs",9,8,2,10,1.11,9,1,1,2,0,0,0,2,0,12,1
"Matt Mistele","NO",22,1995-10-17,1995,"6.02",190,"LW","Sarnia Sting",7,6,4,10,1.43,1,4,2,6,0,0,0,0,0,4,1
"Daniel Muzito-Bagenda","NO",85,1996-06-16,1996,"6.01",205,"RW","Mississauga Steelheads",7,6,4,10,1.43,-1,4,1,5,0,0,0,0,0,6,1
"Boris Katchouk","YES",12,1998-06-18,1998,"6.02",210,"LW","Sault Ste. Marie Greyhounds",12,6,4,10,0.83,3,0,0,0,1,0,1,1,0,4,1
"Blake Speers","NO",18,1997-01-02,1997,"6.00",184,"RW","Sault Ste. Marie Greyhounds",12,6,4,10,0.83,-12,4,2,6,0,0,0,0,0,8,1
"Taylor Raddysh","NO",17,1998-02-18,1998,"6.02",208,"RW","Erie Otters",12,4,6,10,0.83,4,2,0,2,0,0,0,1,0,2,1
"Ryan Mantha","NO",22,1996-06-18,1996,"6.05",225,"D","Niagara IceDogs",17,3,7,10,0.59,6,0,3,3,0,0,0,0,0,14,1
"Jacob  Graves","NO",44,1995-03-28,1995,"6.02",194,"D","London Knights",18,0,10,10,0.56,26,0,1,1,0,1,1,0,0,29,1
"Brandon Robinson","NO",19,1995-10-13,1995,"6.03",216,"LW","Kitchener Rangers",9,6,3,9,1,2,1,1,2,0,0,0,2,1,2,1
"Brendan  Perlini","NO",11,1996-04-27,1996,"6.03",205,"LW","Niagara IceDogs",14,6,3,9,0.64,0,2,1,3,0,0,0,1,1,9,1
"Nathan Todd","NO",81,1995-12-02,1995,"6.00",194,"C","Ottawa 67's",5,4,5,9,1.8,3,2,2,4,0,0,0,1,0,2,1
"Darren Raddysh","NO",24,1996-02-28,1996,"6.01",200,"D","Erie Otters",13,4,5,9,0.69,6,1,3,4,0,0,0,2,0,8,1
"Jonathan Ang","NO",21,1998-01-31,1998,"6.00",170,"C","Peterborough Petes",7,3,6,9,1.29,2,1,1,2,1,0,1,1,0,2,1
"Michael McLeod","NO",9,1998-02-03,1998,"6.02",195,"C","Mississauga Steelheads",7,3,6,9,1.29,-2,0,4,4,0,0,0,0,0,6,1
"Zachary Senyshyn","NO",9,1997-03-30,1997,"6.03",196,"RW","Sault Ste. Marie Greyhounds",12,2,7,9,0.75,0,0,3,3,0,0,0,0,0,6,1
