"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Kevin  Labanc","NO",12,1995-12-12,1995,"5.11",179,"RW","Barrie Colts",65,39,88,127,1.95,60,3,27,30,8,5,13,6,2,70,1
"Christian  Dvorak","NO",10,1996-02-02,1996,"6.01",196,"C","London Knights",59,52,69,121,2.05,56,22,33,55,3,4,7,11,2,27,1
"Mitchell Marner","NO",93,1997-05-05,1997,"5.11",164,"RW","London Knights",57,39,77,116,2.04,45,13,33,46,5,1,6,5,4,68,1
"Dylan Strome","NO",19,1997-03-07,1997,"6.03",198,"C","Erie Otters",56,37,74,111,1.98,23,9,32,41,1,2,3,8,1,44,1
"Matthew Tkachuk","NO",7,1997-12-11,1997,"6.01",195,"LW","London Knights",57,30,77,107,1.88,45,9,33,42,1,1,2,5,3,80,1
"Andrew Mangiapane","NO",26,1996-04-04,1996,"5.10",182,"LW","Barrie Colts",59,51,55,106,1.8,40,10,14,24,8,6,14,6,4,50,1
"Alex DeBrincat","NO",12,1997-12-18,1997,"5.07",170,"RW","Erie Otters",60,51,50,101,1.68,18,13,21,34,2,1,3,10,5,28,1
"Travis Konecny","NO",17,1997-03-11,1997,"5.10",176,"RW","Sarnia Sting",60,30,71,101,1.68,33,5,23,28,0,1,1,4,2,27,1
"Mike Amadio","NO",18,1996-05-13,1996,"6.01",196,"C","North Bay Battalion",68,50,48,98,1.44,30,9,19,28,8,7,15,8,3,40,1
"Christian  Fischer","NO",19,1997-04-15,1997,"6.02",210,"RW","Windsor Spitfires",66,40,50,90,1.36,35,10,23,33,0,0,0,6,2,34,1
"Spencer Watson","NO",96,1996-04-25,1996,"5.11",170,"RW","Kingston Frontenacs",64,43,46,89,1.39,31,15,14,29,0,1,1,8,2,32,1
"Hunter Garlent","NO",23,1995-02-04,1995,"5.09",182,"C","Peterborough Petes",68,40,47,87,1.28,26,8,8,16,1,0,1,4,3,34,1
"Eric  Cornel","NO",10,1996-04-11,1996,"6.02",195,"RW","Peterborough Petes",68,27,56,83,1.22,19,6,12,18,0,0,0,2,2,18,1
"Josh Ho-Sang","NO",26,1996-01-22,1996,"6.00",170,"RW","Niagara IceDogs",66,19,63,82,1.24,28,2,21,23,0,1,1,0,4,44,1
"Ryan MacInnis","NO",72,1996-02-14,1996,"6.04",191,"C","Kitchener Rangers",59,38,43,81,1.37,15,16,13,29,0,0,0,9,1,49,1
"Adam Mascherin","NO",23,1998-06-06,1998,"5.09",197,"LW","Kitchener Rangers",65,35,46,81,1.25,19,9,12,21,0,0,0,5,1,16,1
"Michael Dal Colle","NO",71,1996-06-20,1996,"6.02",198,"LW","Kingston Frontenacs",60,35,45,80,1.33,17,4,19,23,2,0,2,3,0,26,1
"Alexander Nylander","YES",92,1998-03-02,1998,"6.00",172,"LW","Mississauga Steelheads",57,28,47,75,1.32,8,9,19,28,1,0,1,5,2,18,1
"Blake Speers","NO",18,1997-01-02,1997,"6.00",184,"RW","Sault Ste. Marie Greyhounds",68,26,48,74,1.09,-5,5,27,32,0,0,0,6,1,42,1
"Logan Brown","NO",21,1998-03-05,1998,"6.06",214,"C","Windsor Spitfires",59,21,53,74,1.25,24,6,23,29,0,0,0,6,1,40,1
"Taylor Raddysh","NO",17,1998-02-18,1998,"6.02",208,"RW","Erie Otters",67,24,49,73,1.09,19,11,6,17,0,0,0,5,0,18,1
"Aaron Berisha","NO",72,1995-03-05,1995,"5.10",190,"RW","London Knights",66,45,27,72,1.09,40,16,9,25,1,0,1,8,0,35,1
"Kyle Maksimovich","NO",9,1998-03-10,1998,"5.09",188,"LW","Erie Otters",68,27,44,71,1.04,25,7,14,21,0,0,0,6,0,22,1
"Stephen Harper","NO",12,1995-03-25,1995,"6.03",215,"C","Niagara IceDogs",68,25,46,71,1.04,14,6,21,27,0,1,1,3,0,42,1
"Julius  Nattinen","NO",25,1997-01-14,1997,"6.02",192,"C","Barrie Colts",52,22,49,71,1.37,32,9,16,25,1,0,1,1,0,18,1
"Dylan Sadowy","NO",15,1996-04-02,1996,"6.01",195,"LW","Barrie Colts",64,45,25,70,1.09,17,12,6,18,3,2,5,4,2,65,1
"Mathew Santos","NO",26,1995-03-16,1995,"6.00",209,"RW","North Bay Battalion",64,29,40,69,1.08,29,6,9,15,7,5,12,1,1,72,1
"Gabe  Guertler","NO",33,1995-05-03,1995,"5.09",192,"C","Sault Ste. Marie Greyhounds",68,26,42,68,1,11,11,10,21,0,0,0,5,1,102,1
"JJ Piccinich","NO",84,1996-06-12,1996,"6.00",189,"RW","London Knights",66,30,36,66,1,23,16,12,28,0,2,2,5,2,19,1
"Zachary Senyshyn","NO",9,1997-03-30,1997,"6.03",196,"RW","Sault Ste. Marie Greyhounds",66,45,20,65,0.98,5,11,5,16,1,0,1,3,3,20,1
"Greg  Betzold","NO",17,1995-03-11,1995,"6.02",217,"LW","Peterborough Petes",65,43,22,65,1,-2,12,8,20,0,0,0,6,0,49,1
"Will Bitten","NO",41,1998-07-10,1998,"5.11",180,"RW","Flint Firebirds",67,30,35,65,0.97,-29,5,17,22,1,0,1,3,1,32,1
"Justin Scott","NO",17,1995-08-13,1995,"6.01",195,"C","Barrie Colts",67,28,37,65,0.97,32,4,8,12,4,1,5,5,2,60,1
"Pavel Zacha","NO",14,1997-04-06,1997,"6.03",213,"LW","Sarnia Sting",51,28,36,64,1.25,17,10,15,25,2,0,2,4,0,97,1
"Jeremy Bracco","NO",97,1997-03-17,1997,"5.10",190,"RW","Kitchener Rangers",49,21,43,64,1.31,15,2,19,21,0,0,0,3,0,19,1
"Brendan Lemieux","NO",22,1996-03-15,1996,"6.01",210,"LW","Windsor Spitfires",45,32,30,62,1.38,19,14,12,26,0,0,0,6,3,65,1
"Lawson Crouse","NO",67,1997-06-23,1997,"6.04",210,"LW","Kingston Frontenacs",49,23,39,62,1.27,13,6,9,15,2,1,3,2,1,56,1
"Michael McLeod","NO",9,1998-02-03,1998,"6.02",195,"C","Mississauga Steelheads",57,21,40,61,1.07,10,6,9,15,4,0,4,3,0,71,1
"Rasmus Andersson","NO",19,1996-10-27,1996,"6.00",210,"D","Barrie Colts",64,9,51,60,0.94,34,5,17,22,0,1,1,2,0,60,1
"Jordan Maletta","NO",9,1995-04-30,1995,"6.03",215,"C","Niagara IceDogs",68,34,25,59,0.87,10,9,7,16,2,0,2,7,1,55,1
"Anthony Cirelli","NO",22,1997-07-15,1997,"6.01",184,"C","Oshawa Generals",62,21,38,59,0.95,-15,10,16,26,1,0,1,2,1,27,1
"Nathan Bastian","NO",14,1997-12-06,1997,"6.04",219,"RW","Mississauga Steelheads",64,19,40,59,0.92,-3,5,17,22,0,2,2,2,0,50,1
"Cam Dineen","YES",4,1998-06-19,1998,"5.11",185,"D","North Bay Battalion",68,13,46,59,0.87,18,1,24,25,0,4,4,5,0,18,1
"Matt Mistele","NO",22,1995-10-17,1995,"6.02",190,"LW","Sarnia Sting",61,33,25,58,0.95,-6,8,11,19,0,0,0,3,2,45,1
"Kenny Huether","NO",25,1997-08-06,1997,"5.10",177,"RW","Oshawa Generals",64,26,32,58,0.91,-8,8,16,24,0,0,0,4,2,13,1
"Matt Luff","NO",25,1997-05-05,1997,"6.03",196,"RW","Hamilton Bulldogs",61,27,30,57,0.93,-6,3,5,8,1,1,2,4,1,43,1
"Mikhail Sergachev","YES",31,1998-06-25,1998,"6.03",212,"D","Windsor Spitfires",67,17,40,57,0.85,15,8,23,31,0,1,1,5,0,56,1
"Juho Lammikko","NO",82,1996-01-29,1996,"6.02",207,"C","Kingston Frontenacs",59,22,33,55,0.93,24,4,10,14,3,0,3,5,2,51,1
"Aaron Luchuk","NO",91,1997-04-05,1997,"5.10",184,"C","Windsor Spitfires",68,27,26,53,0.78,9,2,8,10,1,0,1,2,1,19,1
"Brett McKenzie","NO",12,1997-03-12,1997,"6.01",194,"C","North Bay Battalion",66,26,27,53,0.8,1,2,6,8,5,1,6,2,2,43,1
"Mikkel Aagaard","NO",41,1995-10-18,1995,"6.00",180,"C","Sudbury Wolves",64,24,29,53,0.83,-13,3,7,10,3,0,3,4,0,60,1
"Dmitry Sokolov","YES",98,1998-04-14,1998,"6.00",206,"RW","Sudbury Wolves",68,30,22,52,0.76,-40,10,9,19,0,0,0,0,0,13,1
"Max Jones","YES",49,1998-02-17,1998,"6.03",210,"LW","London Knights",63,28,24,52,0.83,30,4,5,9,3,1,4,5,0,106,1
"James McEwan","NO",21,1997-03-15,1997,"5.11",196,"C","Guelph Storm",68,25,27,52,0.76,-21,3,11,14,4,2,6,3,1,32,1
"Gustaf Franzen","NO",15,1996-09-22,1996,"5.11",183,"C","Kitchener Rangers",66,17,35,52,0.79,11,5,6,11,0,0,0,4,0,22,1
"Boris Katchouk","YES",12,1998-06-18,1998,"6.02",210,"LW","Sault Ste. Marie Greyhounds",63,24,27,51,0.81,7,6,3,9,1,0,1,6,1,61,1
"Mason Marchment","NO",16,1995-06-18,1995,"6.04",200,"LW","Mississauga Steelheads",61,20,31,51,0.84,-13,8,9,17,0,0,0,4,0,52,1
"Jordan Kyrou","NO",25,1998-05-05,1998,"6.00",185,"RW","Sarnia Sting",65,17,34,51,0.78,13,2,4,6,0,0,0,4,0,14,1
"Trent Fox","NO",16,1997-07-16,1997,"6.03",189,"LW","Hamilton Bulldogs",67,28,22,50,0.75,-20,5,8,13,2,0,2,4,1,68,1
"Bryson Cianfrone","NO",19,1995-02-14,1995,"5.08",188,"C","Owen Sound Attack",58,17,33,50,0.86,10,5,11,16,1,0,1,3,1,40,1
"Alan Lyszczarczyk","YES",11,1998-02-17,1998,"5.10",204,"C","Sudbury Wolves",67,17,33,50,0.75,-25,4,8,12,0,0,0,1,1,36,1
"Bradley  Latour","NO",63,1995-09-13,1995,"5.11",192,"LW","Windsor Spitfires",65,24,25,49,0.75,6,10,9,19,2,0,2,3,2,30,1
"Petrus Palmu","NO",25,1997-07-16,1997,"5.07",172,"RW","Owen Sound Attack",52,23,26,49,0.94,-12,7,8,15,2,1,3,3,1,30,1
"Jonathan Ang","NO",21,1998-01-31,1998,"6.00",170,"C","Peterborough Petes",68,21,28,49,0.72,-5,4,6,10,1,0,1,3,1,44,1
"Jakob Chychrun","NO",5,1998-03-31,1998,"6.02",202,"D","Sarnia Sting",62,11,38,49,0.79,23,8,20,28,0,0,0,2,0,51,1
"Ryan Moore","NO",40,1997-04-09,1997,"5.08",168,"C","Flint Firebirds",68,25,23,48,0.71,-23,6,8,14,1,0,1,3,1,54,1
"Steven Lorentz","NO",16,1996-04-13,1996,"6.03",191,"C","Peterborough Petes",58,23,25,48,0.83,10,2,4,6,0,0,0,3,1,27,1
"Bobby MacIntyre","NO",24,1996-09-08,1996,"5.09",191,"LW","Sault Ste. Marie Greyhounds",62,20,28,48,0.77,2,5,5,10,1,1,2,1,1,41,1
"Warren Foegele","NO",3,1996-04-01,1996,"6.02",190,"C","Kingston Frontenacs",52,13,35,48,0.92,32,3,9,12,0,0,0,1,1,44,1
"Niki Petti","NO",14,1996-08-13,1996,"6.00",204,"C","Hamilton Bulldogs",60,22,25,47,0.78,-4,3,5,8,2,1,3,4,1,27,1
"Michael Cramarossa","NO",43,1996-05-24,1996,"6.00",190,"RW","Hamilton Bulldogs",62,15,32,47,0.76,-25,5,13,18,0,0,0,3,0,47,1
"Nick Betz","NO",29,1995-07-18,1995,"6.05",226,"RW","Erie Otters",68,19,27,46,0.68,25,1,3,4,1,0,1,2,2,52,1
"Mason Kohn","NO",17,1997-05-03,1997,"6.00",180,"C","Kitchener Rangers",60,16,30,46,0.77,25,2,5,7,0,1,1,3,0,59,1
"Miles Liberati","NO",6,1995-06-21,1995,"6.00",203,"D","Kitchener Rangers",66,15,31,46,0.7,6,3,15,18,1,1,2,2,0,38,1
"Stephen Desrocher","NO",37,1996-01-26,1996,"6.04",206,"D","Kingston Frontenacs",69,11,35,46,0.67,29,6,18,24,0,1,1,3,0,39,1
"Gustav Bouramman","NO",37,1997-01-24,1997,"6.00",184,"D","Sault Ste. Marie Greyhounds",68,6,40,46,0.68,-5,3,20,23,0,0,0,1,0,43,1
"Brendan  Perlini","NO",11,1996-04-27,1996,"6.03",205,"LW","Niagara IceDogs",57,25,20,45,0.79,-6,7,7,14,0,0,0,2,0,28,1
"Jake Marchment","NO",27,1995-05-20,1995,"6.04",220,"C","Erie Otters",60,25,20,45,0.75,14,9,2,11,2,0,2,3,2,60,1
"Josh Burnside","NO",15,1995-02-11,1995,"5.11",190,"LW","Mississauga Steelheads",55,13,32,45,0.82,-4,4,8,12,1,1,2,0,1,28,1
"Anthony DiFruscia","NO",10,1995-04-20,1995,"5.11",195,"RW","Niagara IceDogs",67,26,18,44,0.66,-13,14,7,21,0,0,0,3,1,96,1
"Anthony Stefano","NO",14,1996-01-04,1996,"5.10",180,"LW","Barrie Colts",60,21,23,44,0.73,16,3,4,7,1,2,3,3,2,22,1
"Cordell James","NO",27,1996-06-14,1996,"6.02",221,"C","Barrie Colts",66,19,25,44,0.67,17,5,4,9,2,3,5,6,1,44,1
"Michael Webster","NO",24,1995-05-24,1995,"6.01",197,"D","Barrie Colts",64,9,35,44,0.69,31,3,11,14,0,3,3,0,0,57,1
"Sam  Studnicka","NO",27,1995-01-15,1995,"6.01",203,"C","Sarnia Sting",60,24,19,43,0.72,6,11,5,16,1,0,1,6,0,63,1
"Jack Kopacka","YES",52,1998-03-05,1998,"6.02",200,"LW","Sault Ste. Marie Greyhounds",67,20,23,43,0.64,-5,4,5,9,0,0,0,0,1,12,1
"Ethan Szypula","NO",9,1997-01-28,1997,"5.11",170,"C","Owen Sound Attack",65,18,25,43,0.66,-15,6,11,17,0,0,0,2,0,54,1
"Vince Dunn","NO",4,1996-10-29,1996,"6.00",185,"D","Niagara IceDogs",52,12,31,43,0.83,8,4,14,18,0,2,2,3,0,52,1
"Vili Saarijarvi","NO",9,1997-05-15,1997,"5.10",165,"D","Flint Firebirds",59,12,31,43,0.73,-15,8,12,20,0,0,0,1,0,32,1
"Kyle Capobianco","NO",23,1997-08-13,1997,"6.02",188,"D","Sudbury Wolves",68,7,36,43,0.63,-43,4,17,21,0,1,1,0,0,58,1
"Travis  Dermott","NO",44,1996-12-22,1996,"5.11",207,"D","Erie Otters",51,6,37,43,0.84,36,3,15,18,0,1,1,2,0,65,1
"Nikita Korostelev","NO",35,1997-02-08,1997,"6.01",201,"RW","Sarnia Sting",53,23,19,42,0.79,13,6,7,13,0,0,0,2,0,15,1
"Givani Smith","NO",24,1998-02-27,1998,"6.02",210,"RW","Guelph Storm",65,23,19,42,0.65,-27,7,4,11,2,0,2,1,1,146,1
"Logan DeNoble","NO",28,1997-10-15,1997,"5.11",193,"C","Peterborough Petes",63,20,22,42,0.67,22,1,2,3,0,0,0,1,0,47,1
"Domenico Commisso","YES",12,1998-02-19,1998,"6.00",182,"C","Oshawa Generals",66,18,24,42,0.64,-9,2,9,11,0,0,0,1,0,32,1
"Cristiano DiGiacinto","NO",96,1996-01-10,1996,"5.11",186,"LW","Windsor Spitfires",63,16,26,42,0.67,15,3,3,6,0,0,0,3,1,107,1
"Graham Knott","NO",13,1997-01-13,1997,"6.04",195,"LW","Niagara IceDogs",68,12,30,42,0.62,-11,3,10,13,1,0,1,2,0,67,1
"Olli Juolevi","YES",4,1998-05-05,1998,"6.02",188,"D","London Knights",57,9,33,42,0.74,38,4,20,24,0,0,0,0,0,16,1
"Josh Sterk","NO",23,1995-01-17,1995,"5.11",183,"C","Owen Sound Attack",64,9,33,42,0.66,-5,3,13,16,0,0,0,3,1,22,1
"Roland McKeown","NO",20,1996-01-20,1996,"6.2",195,"D","Kingston Frontenacs",59,7,35,42,0.71,21,3,11,14,0,0,0,1,0,49,1
"Johnny Corneil","NO",23,1997-08-16,1997,"5.11",185,"C","Niagara IceDogs",68,20,21,41,0.6,19,7,1,8,0,0,0,4,0,36,1
"Connor Chatham","NO",11,1995-10-30,1995,"6.02",225,"RW","Windsor Spitfires",64,17,24,41,0.64,-12,4,4,8,0,0,0,4,0,90,1
"Matthew Kreis","NO",15,1997-08-01,1997,"5.11",170,"C","Saginaw Spirit",65,17,24,41,0.63,-7,6,8,14,0,0,0,1,0,20,1
"Santino Centorame","NO",8,1996-04-28,1996,"5.11",190,"D","Owen Sound Attack",67,14,27,41,0.61,5,8,17,25,0,0,0,3,0,58,1
"Patrick Murphy","NO",4,1995-01-10,1995,"6.01",191,"D","Sudbury Wolves",68,13,27,40,0.59,-30,4,12,16,0,0,0,2,0,50,1
"Steve Harland","NO",28,1996-05-10,1996,"5.09",170,"RW","North Bay Battalion",53,12,28,40,0.75,5,2,3,5,0,0,0,2,0,7,1
"Garrett McFadden","NO",27,1997-08-21,1997,"5.11",184,"D","Guelph Storm",68,11,29,40,0.59,-41,7,18,25,0,1,1,1,1,48,1
"Dominik Masin","NO",5,1996-02-01,1996,"6.03",198,"D","Peterborough Petes",57,8,32,40,0.7,24,1,16,17,0,0,0,3,0,50,1
