"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Barrett Hayton","NO",2000-06-09,"6.01",191,"C","Sault Ste. Marie Greyhounds",24,8,13,21,0.88,-2,4,6,10,1,0,16
"Rasmus Sandin","YES",2000-03-07,"5.11",190,"D","Sault Ste. Marie Greyhounds",24,1,12,13,0.54,1,1,5,6,0,0,8
"Riley Damiani","NO",2000-03-20,"5.10",170,"C","Kitchener Rangers",19,5,7,12,0.63,2,0,2,2,1,0,10
"Akil Thomas","NO",2000-01-02,"6.00",180,"C","Niagara IceDogs",10,5,6,11,1.1,-3,2,4,6,1,0,6
"Andrei Svechnikov","YES",2000-03-26,"6.03",184,"RW","Barrie Colts",8,5,6,11,1.38,-1,1,3,4,0,1,12
"Aidan Dudas","NO",2000-06-15,"5.08",168,"C","Owen Sound Attack",11,3,4,7,0.64,-2,0,1,1,1,0,4
"Tyler Tucker","NO",2000-03-01,"6.02",205,"D","Barrie Colts",12,3,3,6,0.5,1,0,1,1,2,0,10
"Matthew Struthers","NO",1999-12-26,"6.02",205,"C","North Bay Battalion",5,1,5,6,1.2,5,0,0,0,0,0,2
"Ryan Merkley","NO",2000-08-14,"5.11",170,"D","Guelph Storm",6,1,5,6,1,-6,1,3,4,0,0,10
"Ryan McLeod","NO",1999-09-21,"6.03",205,"C","Mississauga Steelheads",6,2,3,5,0.83,-4,0,2,2,0,0,6
"Evan Bouchard","NO",1999-10-20,"6.02",198,"D","London Knights",4,1,4,5,1.25,-5,1,3,4,0,0,6
"Adam McMaster","NO",2000-02-24,"5.11",170,"LW","North Bay Battalion",5,0,5,5,1,-3,0,2,2,0,0,2
"Curtis Douglas","NO",2000-03-06,"6.09",236,"C","Windsor Spitfires",6,1,3,4,0.67,-5,0,1,1,0,0,4
"Ryan Roth","YES",2000-07-20,"5.07",166,"RW","Sault Ste. Marie Greyhounds",24,1,3,4,0.17,-1,0,0,0,0,0,0
"Sam Bitten","YES",2000-03-21,"6.02",200,"C","Ottawa 67's",5,3,0,3,0.6,-3,3,0,3,1,0,0
"Bradey Johnson","NO",1999-12-24,"6.00",185,"RW","Niagara IceDogs",10,2,1,3,0.3,0,0,0,0,0,0,0
"Allan McShane","NO",2000-02-14,"6.00",181,"LW","Oshawa Generals",5,1,2,3,0.6,-2,1,0,1,0,0,2
"Cam Hillis","YES",2000-06-24,"5.11",174,"C","Guelph Storm",6,1,2,3,0.5,-4,0,0,0,0,0,2
"Chris Playfair","NO",2000-05-31,"6.01",191,"LW","Windsor Spitfires",6,1,2,3,0.5,1,0,0,0,1,0,2
