"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Ethan Langevin","5.10",180,"Sarnia Sting",2001-05-25,1,24,26,0.923,26.67,2,2.05,0,0,1,0,1,0,0,0,0
"Matthew Villalta","6.04",186,"Sault Ste. Marie Greyhounds",1999-06-03,49,1238,1363,0.908,28.16,125,2.58,3,40,5,2,7,4,2,2,2
"Tyler Johnson","6.04",183,"Sault Ste. Marie Greyhounds",1998-02-07,26,565,623,0.907,28.12,58,2.62,2,14,5,1,6,1,0,1,4
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,56,1606,1754,0.916,31.71,148,2.68,2,31,16,6,22,6,3,3,2
"Michael DiPietro","6.00",205,"Windsor Spitfires",1999-06-09,56,1544,1696,0.91,31.15,152,2.79,7,29,21,3,24,2,1,1,0
"Christian Propp","6.02",192,"North Bay Battalion",1999-03-27,35,967,1063,0.91,31.07,96,2.81,1,19,10,3,13,7,4,3,8
"Joseph Raaymakers","6.01",186,"London Knights",1998-03-17,46,1253,1377,0.91,31.49,124,2.84,3,29,13,1,14,2,1,1,6
"Colton Incze","6.02",210,"Niagara IceDogs",1999-01-31,22,543,595,0.913,32.51,52,2.84,0,7,7,3,10,0,0,0,0
"Justin Fazio","6.01",189,"Sarnia Sting",1997-05-03,51,1624,1769,0.918,34.75,145,2.85,2,37,11,3,14,3,3,0,2
"Kaden Fulcher","6.03",182,"Hamilton Bulldogs",1998-09-23,55,1368,1521,0.899,28.46,153,2.86,3,32,17,4,21,4,2,2,2
"Mario Culina","6.02",184,"Kitchener Rangers",1997-06-12,30,873,956,0.913,33.31,83,2.89,2,15,11,2,13,1,0,1,2
"Tristan Bérubé","6.00",180,"Gatineau",1999-05-22,2,41,46,0.891,27.6,5,3,0,1,1,0,1,0,0,0,0
"Jordan Kooy","6.03",196,"London Knights",2000-04-30,24,572,633,0.904,32.22,61,3.11,1,10,8,0,8,1,0,1,0
"Nick Donofrio","6.04",205,"Hamilton Bulldogs",1999-11-19,17,357,404,0.884,26.99,47,3.14,1,11,1,0,1,1,0,1,2
"Kyle Keyser","6.02",186,"Oshawa Generals",1999-03-08,47,1297,1434,0.904,33.05,137,3.16,4,28,13,2,15,3,3,0,2
"Evan Cormier","6.03",200,"Saginaw Spirit",1997-11-06,61,1639,1821,0.9,31.83,182,3.18,3,24,24,8,32,2,2,0,0
"Mack Guzda","6.05",205,"Owen Sound Attack",2001-01-11,30,574,653,0.879,26.46,79,3.2,1,14,6,2,8,3,1,2,0
"Luke Richardson","6.03.",174,"Kitchener Rangers",1999-05-28,39,1026,1142,0.898,31.73,116,3.22,1,23,11,2,13,1,1,0,0
"Leo Lazarev","5.10",161,"Barrie Colts",1997-07-27,52,1415,1575,0.898,31.81,160,3.23,3,32,16,3,19,0,0,0,4
"Olivier Tremblay","5.11",187,"Ottawa 67's",1997-08-20,52,1247,1400,0.891,29.89,153,3.27,3,25,15,4,19,4,2,2,4
"Emanuel Vella","6.04",195,"Mississauga Steelheads",1998-08-08,32,784,875,0.896,31.51,91,3.28,2,17,10,1,11,1,1,0,0
"Julian Sime","5.08",184,"North Bay Battalion",1998-03-13,33,841,939,0.896,31.95,98,3.33,0,9,14,4,18,1,0,1,2
"Stephen Dhillon","6.05",203,"Niagara IceDogs",1998-09-14,52,1492,1660,0.899,32.97,168,3.34,1,28,16,4,20,5,2,3,2
"Nathan Torchia","5.10",185,"Oshawa Generals",2000-05-12,1,9,11,0.818,18.42,2,3.35,0,0,0,0,0,0,0,0,0
"Anthony Popovich","6.02",197,"Guelph Storm",1999-08-01,60,1802,1998,0.902,35.1,196,3.44,1,29,21,4,25,5,2,3,0
"Brendan Bonello","6.01",206,"Kingston Frontenacs",1999-04-01,12,293,325,0.902,35.19,32,3.46,0,3,5,0,5,0,0,0,0
"Kai Edmonds","6.03",174,"Barrie Colts",2000-07-27,19,429,483,0.888,31.11,54,3.48,1,9,4,1,5,1,1,0,0
"Aidan Hughes","6.04",224,"Sarnia Sting",1999-04-10,18,522,580,0.9,35.07,58,3.51,1,9,5,1,6,1,0,1,0
"Olivier Lafreniere","6.01",195,"Owen Sound Attack",1998-06-08,40,935,1068,0.875,28.74,133,3.58,1,20,15,1,16,3,1,2,0
"Dylan Wells","6.02",190,"Peterborough Petes",1998-01-03,56,1683,1878,0.896,34.89,195,3.62,1,20,30,3,33,4,1,3,4
"David Bowen","6.00",152,"Sudbury Wolves",2000-11-15,4,83,92,0.902,37.31,9,3.65,0,1,1,1,2,0,0,0,2
"Jacob Ingham","6.04.",198,"Mississauga Steelheads",2000-06-10,43,1082,1229,0.88,30.56,147,3.65,0,16,22,0,22,3,1,2,2
"Cole Ceci","6.02",173,"Oshawa Generals",1998-03-04,24,643,718,0.896,35.51,75,3.71,1,7,12,0,12,0,0,0,0
"Zack Bowman","6.02",179,"Owen Sound Attack",1997-07-31,15,343,396,0.866,27.99,53,3.75,0,8,5,0,5,2,1,1,2
"Daniel Murphy","6.01",192,"Erie Otters",2000-02-18,26,678,771,0.879,31.63,93,3.82,1,6,17,1,18,3,2,1,2
"Anand Oberoi","6.05",196,"Erie Otters",1999-02-10,28,652,745,0.875,31.1,93,3.88,1,10,9,3,12,2,1,1,0
"Connor Hicks","6.04",193,"Sault Ste. Marie Greyhounds",1997-02-20,3,95,107,0.888,35.02,12,3.93,0,1,1,1,2,0,0,0,0
"Jake McGrath","6.02",168,"Sudbury Wolves",1999-01-07,45,1212,1370,0.885,34.69,158,4,0,9,26,5,31,1,1,0,0
"Mario Peccia","6.02",205,"Oshawa Generals",1999-09-21,9,183,209,0.876,32.17,26,4,1,2,5,0,5,0,0,0,0
"Nico Daws","6.04",202,"Guelph Storm",2000-12-22,14,307,349,0.88,33.7,42,4.06,0,1,7,1,8,1,0,1,2
"Cameron Lamour","6.02",153,"Saginaw Spirit",2000-07-01,17,293,338,0.867,31.22,45,4.16,0,5,6,1,7,0,0,0,2
"Riley Daniels","6.01",191,"Owen Sound Attack",1999-02-05,4,68,82,0.829,24.43,14,4.17,0,0,3,0,3,0,0,0,0
"Luke Cavallin","6.02",196,"Flint Firebirds",2001-04-29,31,787,903,0.872,32.69,116,4.2,0,7,18,0,18,3,2,1,2
"Chris McGonigle","6.02",214,"Kitchener Rangers",1998-09-19,9,140,167,0.838,28.47,27,4.6,0,1,3,1,4,0,0,0,0
"Cedrick Andree","5.10",169,"Ottawa 67's",2000-06-07,13,314,366,0.858,32.99,52,4.69,0,1,7,2,9,1,0,1,0
"Marshall Frappier","6.01",185,"Sudbury Wolves",2000-02-19,22,542,622,0.871,36.47,80,4.69,1,5,10,1,11,0,0,0,0
"Garrett Forrest","5.10",177,"Flint Firebirds",1997-07-07,45,1249,1441,0.867,35.26,192,4.7,0,13,25,3,28,2,1,1,0
"Brock Baier","6.04",227,"Windsor Spitfires",1999-04-20,10,231,274,0.843,32.33,43,5.07,0,1,7,1,8,0,0,0,0
"Hunter Jones","6.04.",198,"Peterborough Petes",2000-09-21,15,485,560,0.866,38.4,75,5.14,0,3,9,0,9,1,1,0,0
"Logan Gauthier","6.02",194,"Oshawa Generals",1998-09-14,4,72,93,0.774,26.13,21,5.9,0,1,2,1,3,0,0,0,0
"Anthony Dumont-Bouchard","6.00",196,"Kitchener Rangers",1997-02-14,7,193,208,0.928,29.73,15,2.14,0,6,1,0,1,0,0,0,0
"William Giroux","6.02",179,"Gatineau",1998-12-08,1,11,12,0.917,36,1,3,0,0,0,0,0,0,0,0,0
"Lucas Patton","6.01",183,"Windsor Spitfires",1999-07-18,6,144,161,0.894,30.64,17,3.24,0,2,2,0,2,1,0,1,0
"Troy Timpano","6.00",202,"Erie Otters",1997-11-13,22,523,598,0.875,29.58,75,3.71,1,7,9,3,12,2,1,1,8
"Mat Woroniuk","6.02",195,"North Bay Battalion",1999-03-25,5,75,89,0.843,26.81,14,4.22,0,2,1,0,1,0,0,0,0
"Christian Purboo","6.03",203,"North Bay Battalion",2000-07-01,5,127,151,0.841,31.82,24,5.06,0,1,4,0,4,0,0,0,0
