"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Shane Wright","NO",2004-01-05,"6.01",185,"C","Kingston Frontenacs",63,32,62,94,1.49,23,8,20,28,5,0,22
"Luca Del Bel Belluz","NO",2003-11-10,"6.01",178,"C","Mississauga Steelheads",68,30,46,76,1.12,23,12,15,27,8,1,28
"David Goyette","YES",2004-03-27,"5.11",181,"C","Sudbury Wolves",66,33,40,73,1.11,-6,6,9,15,1,2,33
"Pavel Mintyukov","NO",2003-11-25,"6.03",195,"D","Saginaw Spirit",67,17,45,62,0.93,-14,2,16,18,0,1,28
"Christian Kyrou","NO",2003-09-16,"5.11",182,"D","Erie Otters",68,18,42,60,0.88,-3,2,17,19,4,0,44
"Cedrick Guindon","YES",2004-04-21,"5.10",182,"C","Owen Sound Attack",68,30,29,59,0.87,11,4,8,12,5,1,16
"Danny Zhilkin","NO",2003-12-19,"6.02",185,"C","Guelph Storm",66,23,32,55,0.83,-12,8,9,17,5,0,24
"Servac Petrovsky","YES",2004-08-10,"5.11",177,"C","Owen Sound Attack",65,28,26,54,0.83,6,9,10,19,7,1,28
"Matyas Sapovaliv","YES",2004-02-12,"6.04",195,"C","Saginaw Spirit",68,18,34,52,0.76,-18,7,11,18,0,0,26
"Owen Beck","YES",2004-02-03,"6.00",190,"C","Mississauga Steelheads",68,21,30,51,0.75,17,5,10,15,2,0,14
"Ty Nelson","YES",2004-03-30,"5.10",206,"D","North Bay Battalion",66,9,42,51,0.77,24,4,20,24,5,0,39
"Matthew Poitras","YES",2004-03-10,"5.11",170,"C","Guelph Storm",68,21,29,50,0.74,5,5,7,12,4,0,58
"Evan Konyen","YES",2004-02-22,"6.00",180,"RW","Sudbury Wolves",66,16,34,50,0.76,-3,5,8,13,2,0,35
"Bryce McConnell-Barker","YES",2004-06-04,"6.02",188,"C","Soo Greyhounds",68,23,26,49,0.72,1,7,4,11,2,1,14
"Gavin Hayes","YES",2004-05-14,"6.02",178,"RW","Flint Firebirds",65,19,30,49,0.75,8,3,13,16,2,0,18
