"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Brady Martin",2007-03-16,"C","Soo Greyhounds",4,4,3,7,1.75,3,1,2,1,0,0
"Matheas Stark",2007-01-14,"LW","Kitchener Rangers",6,6,0,6,1,-1,2,0,1,0,2
"Matthew Schaefer",2007-09-05,"D","Erie Otters",6,3,3,6,1,3,1,0,0,0,2
"Jake O'Brien",2007-06-16,"C","Brantford Bulldogs",6,2,4,6,1,3,1,0,0,0,0
"Tanner Lam",2007-07-14,"RW","Kitchener Rangers",6,1,5,6,1,-4,0,2,0,0,0
"Riley Patterson",2006-03-22,"C","Barrie Colts",4,3,2,5,1.25,1,2,0,0,0,0
"Rylan Singh",2007-10-04,"D","Guelph Storm",6,1,4,5,0.83,0,0,3,0,0,6
"Dennis Lominac",2006-01-11,"LW","Sarnia Sting",5,3,1,4,0.8,0,1,0,0,0,4
"Dylan Tsherna",2007-02-22,"RW","Brantford Bulldogs",6,3,1,4,0.67,0,0,0,1,0,8
"Leo Serlin",2006-01-20,"RW","Guelph Storm",6,3,1,4,0.67,1,0,0,0,0,0
"Tate Vader",2006-01-09,"C","Soo Greyhounds",4,3,1,4,1,3,0,1,0,0,2
"Cameron Reid",2007-04-08,"LD","Kitchener Rangers",5,1,3,4,0.8,1,0,0,0,0,0
"Ryan Roobroeck",2007-09-25,"LW","Niagara IceDogs",5,1,3,4,0.8,1,1,1,0,0,0
"Travis Hayes",2007-09-03,"RW","Soo Greyhounds",4,1,3,4,1,4,0,0,0,0,8
"Jakub Fibigr",2006-07-22,"D","Mississauga Steelheads",6,0,4,4,0.67,3,0,1,0,0,2
"William Eggleton",2006-02-19,"LW","Mississauga Steelheads",6,3,0,3,0.5,3,0,0,0,0,0
"Brody Partridge",2006-09-14,"C","Peterborough Petes",5,2,1,3,0.6,1,0,0,0,0,5
"Max Anderson",2007-07-18,"C","Flint Firebirds",2,2,1,3,1.5,-1,0,0,0,0,2
