"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Kieran Witkowski","NO",2007-02-07,"5.11",176,"LW","Brampton Steelheads",5,2,7,9,1.8,7,1,0,1,0,0,2
"Cooper Dennis","NO",2007-05-07,"5.06",151,"RW","Brantford Bulldogs",5,5,3,8,1.6,8,1,0,1,0,0,4
"Gabriel Chiarot","NO",2006-09-17,"5.11",191,"RW","Brampton Steelheads",3,3,4,7,2.33,7,0,1,1,0,0,11
"Ihnat Pazii","NO",2006-12-04,"5.09",156,"LW","North Bay Battalion",5,3,3,6,1.2,2,0,1,1,0,0,4
"Jonathan Kapageridis","NO",2007-05-08,"6.00",182,"D","North Bay Battalion",5,2,4,6,1.2,3,0,1,1,0,0,2
"Haeden Ellis","NO",2007-03-07,"5.10",161,"RW","Kitchener Rangers",5,5,0,5,1,5,1,0,1,2,0,2
"Caden Taylor","NO",2007-03-31,"6.03",189,"LW","Peterborough Petes",2,3,2,5,2.5,1,2,1,3,0,0,2
"Illia Shybinskyi","NO",2007-05-14,"6.00",178,"LW","Guelph Storm",5,2,3,5,1,-3,1,2,3,0,0,0
"Jasper Kuhta","NO",2006-10-28,"6.02",199,"C","Ottawa 67's",4,2,3,5,1.25,5,1,0,1,0,0,0
"Joshua Avery","NO",2007-01-30,"6.01",187,"C","Brantford Bulldogs",5,2,3,5,1,0,0,1,1,0,0,0
"Ruslan Karimov","NO",2007-04-27,"6.00",200,"LW","Sarnia Sting",4,2,3,5,1.25,0,1,1,2,0,0,6
"Hudson Chitaroni","NO",2007-08-22,"5.10",191,"LW","Sudbury Wolves",4,1,4,5,1.25,-1,0,1,1,0,0,0
"Jimmy Lombardi","NO",2007-02-16,"6.01",193,"C","Flint Firebirds",2,1,4,5,2.5,4,0,1,1,0,0,0
"Jake O'Brien","NO",2007-06-16,"6.02",177,"C","Brantford Bulldogs",2,3,1,4,2,3,1,0,1,0,0,0
"Tanner Lam","NO",2007-07-14,"5.10",160,"RW","Kitchener Rangers",5,3,1,4,0.8,-1,0,1,1,0,1,0
"Tristan Delisle","NO",2007-05-15,"5.11",184,"C","Owen Sound Attack",3,3,1,4,1.33,1,0,1,1,0,0,6
"Liam Beamish","NO",2007-01-04,"6.00",190,"C","Sarnia Sting",2,2,2,4,2,-2,2,2,4,0,0,2
"Michael Dec","NO",2007-01-29,"5.10",161,"RW","Owen Sound Attack",5,2,2,4,0.8,4,1,0,1,1,0,2
"Teague Vader","NO",2007-08-23,"6.00",192,"D","Barrie Colts",6,1,3,4,0.67,2,1,0,1,0,0,2
"Cameron Arquette","NO",2007-04-27,"5.08",170,"RW","Kitchener Rangers",5,0,4,4,0.8,-1,0,1,1,0,0,0
"Jan Chovan","NO",2007-01-09,"6.03",198,"RW","Sudbury Wolves",2,2,1,3,1.5,1,0,0,0,0,0,0
"Tomas Pobezal","NO",2006-09-18,"5.11",182,"C","Kingston Frontenacs",4,2,1,3,0.75,1,0,0,0,0,0,12
"William Schneid","NO",2007-05-10,"6.01",203,"RW","Barrie Colts",6,2,1,3,0.5,-2,0,0,0,1,0,0
"Easton Mikus","NO",2007-06-19,"6.01",191,"C","Owen Sound Attack",5,1,2,3,0.6,3,0,0,0,0,0,2
"Graydon Jones","NO",2007-01-01,"6.00",175,"D","Saginaw Spirit",5,1,2,3,0.6,3,0,0,0,1,0,8
"James Barr","NO",2007-06-01,"6.01",182,"D","Sarnia Sting",4,1,2,3,0.75,-1,1,1,2,0,0,4
"Adam Benak","NO",2007-04-10,"5.08",163,"C","Brantford Bulldogs",1,0,3,3,3,3,0,1,1,0,0,0
"Adrian Manzo","NO",2007-08-28,"6.01",190,"D","North Bay Battalion",6,0,3,3,0.5,-6,0,2,2,0,0,4
"Edison Engle","NO",2007-02-15,"6.02",172,"D","Brantford Bulldogs",3,0,3,3,1,5,0,0,0,0,0,0
"Filip Ekberg","NO",2007-04-14,"5.10",180,"RW","Ottawa 67's",3,0,3,3,1,1,0,0,0,0,0,0
"Henry Brzustewicz","NO",2007-02-09,"6.02",205,"D","London Knights",2,0,3,3,1.5,2,0,1,1,0,0,6
"Mikhail Zakharov","NO",2007-07-06,"6.06",180,"C","London Knights",4,0,3,3,0.75,4,0,0,0,0,0,4
"Arseny Pronin","NO",2007-05-16,"6.02",198,"LW","North Bay Battalion",6,2,0,2,0.33,-3,1,0,1,1,0,7
"Lirim Amidovski","NO",2006-12-22,"6.01",175,"RW","North Bay Battalion",3,2,0,2,0.67,-1,2,0,2,0,0,2
"Nicholas Sykora","NO",2007-05-24,"6.00",177,"LW","Owen Sound Attack",4,2,0,2,0.5,3,1,0,1,0,1,2
"Tyler Hopkins","NO",2007-01-23,"6.01",197,"C","Kingston Frontenacs",2,2,0,2,1,2,1,0,1,0,0,2
"Brody Cook","NO",2007-04-06,"6.00",190,"RW","London Knights",4,1,1,2,0.5,-1,0,0,0,1,0,2
"Daniel Berehowsky","NO",2006-09-29,"5.11",182,"RW","Sudbury Wolves",4,1,1,2,0.5,-2,1,0,1,0,0,0
"Duncan Thompson","NO",2006-09-21,"5.11",165,"RW","Guelph Storm",5,1,1,2,0.4,-4,0,0,0,0,0,0
"Ethan Czata","NO",2007-05-29,"6.02",186,"C","Niagara IceDogs",2,1,1,2,1,0,0,1,1,0,0,4
"Jack Nesbitt","NO",2007-01-12,"6.04",189,"C","Windsor Spitfires",1,1,1,2,2,2,1,0,1,0,0,2
"Jacob Cloutier","NO",2007-03-22,"5.11",180,"RW","Saginaw Spirit",3,1,1,2,0.67,-2,0,0,0,0,0,2
"Luca Romano","NO",2007-06-25,"5.11",170,"C","Kitchener Rangers",3,1,1,2,0.67,2,0,0,0,0,0,6
"Lukas Moore","NO",2007-04-20,"6.03",201,"D","Kingston Frontenacs",4,1,1,2,0.5,4,0,0,0,0,0,6
"Matheas Stark","NO",2007-01-14,"6.00",161,"LW","Kitchener Rangers",5,1,1,2,0.4,-1,0,1,1,0,0,0
"Nolan Jackson","NO",2007-01-02,"6.02",189,"D","Ottawa 67's",3,1,1,2,0.67,4,0,0,0,0,0,0
"Owen Griffin","NO",2007-04-08,"5.10",175,"C","Oshawa Generals",2,1,1,2,1,-2,1,0,1,0,0,2
"Ryan White","NO",2007-06-28,"5.09",172,"D","Ottawa 67's",3,1,1,2,0.67,0,0,0,0,0,0,2
"Braedyn Rogers","NO",2006-11-22,"6.01",185,"RD","Owen Sound Attack",4,0,2,2,0.5,1,0,0,0,0,0,0
"Camron Hankai","NO",2007-03-22,"6.01",205,"D","Brantford Bulldogs",5,0,2,2,0.4,1,0,0,0,0,0,2
"Carson Cameron","NO",2007-06-27,"6.02",195,"D","Peterborough Petes",1,0,2,2,2,1,0,1,1,0,0,0
"Cohen Bidgood","NO",2007-01-11,"6.01",185,"RW","London Knights",3,0,2,2,0.67,3,0,0,0,0,0,7
"Daniil Skvortsov","NO",2007-01-13,"6.04",200,"D","Guelph Storm",3,0,2,2,0.67,-1,0,2,2,0,0,6
"Harry Nansi","NO",2007-09-10,"6.03",201,"RW","Owen Sound Attack",3,0,2,2,0.67,-1,0,1,1,0,0,2
"Jack LaBrash","NO",2007-03-04,"6.05",196,"LW","Kitchener Rangers",5,0,2,2,0.4,1,0,0,0,0,0,15
"Jayden Connors","NO",2007-02-26,"5.10",185,"D","Sudbury Wolves",4,0,2,2,0.5,1,0,0,0,0,0,2
"Jonathan Brown","NO",2007-03-09,"6.02",205,"D","Windsor Spitfires",4,0,2,2,0.5,-1,0,1,1,0,0,4
"Kaden Schneider","NO",2007-06-21,"6.03",181,"LD","Kitchener Rangers",4,0,2,2,0.5,3,0,0,0,0,0,2
"Luke Dragusica","NO",2007-02-16,"6.01",178,"D","Brampton Steelheads",4,0,2,2,0.5,5,0,1,1,0,0,13
"Quinn Beauchesne","NO",2007-03-01,"6.00",187,"D","Guelph Storm",2,0,2,2,1,0,0,2,2,0,0,6
"Reyth Smith","NO",2007-07-27,"6.02",179,"LW","Niagara IceDogs",3,0,2,2,0.67,0,0,0,0,0,0,10
"Sam Black","NO",2007-03-08,"6.01",186,"C","Barrie Colts",5,0,2,2,0.4,0,0,0,0,0,0,6
"Shaan Kingwell","NO",2007-02-07,"6.00",164,"LW","Ottawa 67's",4,0,2,2,0.5,1,0,0,0,0,0,0
"Travis Hayes","NO",2007-09-03,"5.11",172,"RW","Soo Greyhounds",1,0,2,2,2,2,0,0,0,0,0,2
"Andrew MacNiel","NO",2007-07-25,"6.02",204,"RD","Kitchener Rangers",2,1,0,1,0.5,2,0,0,0,0,0,6
"Cameron Aucoin","NO",2007-03-20,"6.01",190,"D","Sarnia Sting",4,1,0,1,0.25,-2,0,0,0,0,0,8
"Chase Hull","NO",2007-04-28,"5.11",185,"LW","Flint Firebirds",4,1,0,1,0.25,-1,0,0,0,0,0,6
"Jeremy Martin","NO",2007-02-06,"6.01",195,"LW","Flint Firebirds",3,1,0,1,0.33,-2,0,0,0,0,0,2
"John Banks","NO",2007-04-16,"5.09",171,"LD","Owen Sound Attack",4,1,0,1,0.25,5,0,0,0,0,0,7
"Josh Bonnyman","NO",2007-07-05,"6.01",195,"RW","Flint Firebirds",3,1,0,1,0.33,-1,0,0,0,1,0,0
"Kieren Dervin","NO",2007-03-31,"6.01",183,"C","Kingston Frontenacs",2,1,0,1,0.5,1,0,0,0,1,0,0
"Kimani Eccleston","YES",2007-08-02,"6.04",198,"LW","Sudbury Wolves",4,1,0,1,0.25,-1,0,0,0,0,0,4
"Luc Plante","NO",2007-05-21,"5.11",176,"LW","Erie Otters",5,1,0,1,0.2,-2,0,0,0,0,0,2
"Lucas Teixeira","NO",2007-01-28,"6.01",190,"C","Oshawa Generals",4,1,0,1,0.25,-1,0,0,0,0,0,2
"Parker Holmes","NO",2007-03-08,"6.04",228,"LW","Brantford Bulldogs",4,1,0,1,0.25,0,0,0,0,1,0,7
"PJ Fagan II","NO",2007-05-02,"6.01",205,"D","London Knights",4,1,0,1,0.25,2,0,0,0,0,0,14
"Sam Johnston","NO",2007-07-30,"6.04",187,"RW","Guelph Storm",3,1,0,1,0.33,-3,0,0,0,0,0,0
"Aaron Enright","NO",2007-03-28,"6.00",213,"D","North Bay Battalion",5,0,1,1,0.2,-5,0,1,1,0,0,4
"Aiden Lee","NO",2007-07-20,"6.01",190,"RW","Kingston Frontenacs",1,0,1,1,1,1,0,0,0,0,0,2
"Artem Gonchar","NO",2006-10-25,"6.01",177,"D","Sudbury Wolves",2,0,1,1,0.5,-2,0,1,1,0,0,0
"Ben Radley","NO",2007-07-29,"6.00",190,"D","Brantford Bulldogs",4,0,1,1,0.25,4,0,0,0,0,0,0
"Blake Arrowsmith","NO",2007-04-17,"6.01",195,"RW","Soo Greyhounds",4,0,1,1,0.25,-1,0,0,0,0,0,12
"Brady Smith","NO",2007-04-12,"6.00",187,"C","Soo Greyhounds",2,0,1,1,0.5,-1,0,0,0,0,0,0
"Carson Harmer","NO",2007-01-13,"5.10",195,"C","Saginaw Spirit",2,0,1,1,0.5,-2,0,1,1,0,0,0
"Cole Dubowsky","NO",2007-06-11,"6.00",190,"LW","Windsor Spitfires",2,0,1,1,0.5,3,0,0,0,0,0,14
"Dryden Allen","NO",2007-07-09,"6.02",200,"D","Flint Firebirds",3,0,1,1,0.33,2,0,0,0,0,0,2
"Dylan Luecke","NO",2007-02-22,"6.02",170,"RW","Sarnia Sting",4,0,1,1,0.25,-2,0,0,0,0,0,8
"Dylan Tsherna","NO",2007-02-22,"6.00",185,"RW","Brantford Bulldogs",3,0,1,1,0.33,1,0,0,0,0,0,7
"Ethan Weir","NO",2007-01-10,"5.11",185,"RW","Saginaw Spirit",4,0,1,1,0.25,-3,0,0,0,0,0,0
"Francis Parish","NO",2007-03-06,"5.09",160,"RW","Peterborough Petes",2,0,1,1,0.5,0,0,0,0,0,0,0
"Haoxi Wang","NO",2007-07-27,"6.05",223,"D","Oshawa Generals",2,0,1,1,0.5,2,0,0,0,0,0,6
"Hunter McKenzie","NO",2006-12-07,"6.00",193,"LW","Guelph Storm",5,0,1,1,0.2,0,0,0,0,0,0,2
"Jack Pollock","NO",2006-09-24,"5.11",191,"D","Barrie Colts",4,0,1,1,0.25,-4,0,0,0,0,0,13
"Jakub Winkelhofer","NO",2007-01-12,"6.02",187,"D","Soo Greyhounds",4,0,1,1,0.25,-3,0,1,1,0,0,0
"Jordan Charron","NO",2007-06-21,"6.02",208,"RW","Soo Greyhounds",2,0,1,1,0.5,-1,0,0,0,0,0,2
"Josh Glavin","NO",2006-09-24,"6.02",200,"D","Saginaw Spirit",4,0,1,1,0.25,0,0,0,0,0,0,8
"Kaleb Dietsch","NO",2007-01-03,"6.03",197,"D","Ottawa 67's",2,0,1,1,0.5,1,0,0,0,0,0,0
"Keegan Gillen","NO",2007-04-24,"5.11",185,"D","Soo Greyhounds",4,0,1,1,0.25,5,0,0,0,0,0,2
"Luc Gauvreau","NO",2007-08-08,"5.11",195,"LW","Barrie Colts",3,0,1,1,0.33,1,0,0,0,0,0,14
"Mateu Spath","NO",2007-02-20,"5.10",181,"LW","Niagara IceDogs",3,0,1,1,0.33,-3,0,0,0,0,0,0
"Niko Krmpotic","NO",2007-04-19,"6.01",191,"D","Kingston Frontenacs",3,0,1,1,0.33,1,0,0,0,0,0,5
"Oliver Turner","NO",2007-03-18,"6.05",201,"D","Erie Otters",3,0,1,1,0.33,-1,0,0,0,0,0,8
"Parker Snelgrove","NO",2007-01-20,"6.01",193,"C","Guelph Storm",4,0,1,1,0.25,-1,0,0,0,0,0,2
"Ritter Coombs","NO",2006-11-03,"6.01",184,"LW","Erie Otters",4,0,1,1,0.25,0,0,0,0,0,0,10
"Thanasi Marentette","NO",2007-01-30,"6.00",220,"D","Peterborough Petes",4,0,1,1,0.25,0,0,0,0,0,0,11
"Wil McFadden","NO",2007-02-15,"5.08",170,"C","Guelph Storm",2,0,1,1,0.5,-3,0,1,1,0,0,0
"Alex Misiak","NO",2007-06-22,"6.01",195,"LW","Erie Otters",2,0,0,0,0,-1,0,0,0,0,0,0
"André Mondoux","NO",2007-03-16,"6.05",207,"D","Kingston Frontenacs",3,0,0,0,0,0,0,0,0,0,0,0
"Artem Frolov","NO",2007-05-05,"6.00",194,"D","Flint Firebirds",2,0,0,0,0,-1,0,0,0,0,0,0
"Briir Long","NO",2007-07-22,"5.11",154,"LW","North Bay Battalion",4,0,0,0,0,-1,0,0,0,0,0,0
"Calum Hartnell","NO",2007-06-08,"5.08",168,"D","Peterborough Petes",3,0,0,0,0,-1,0,0,0,0,0,4
"Candon O'Neill","NO",2007-08-11,"6.00",200,"D","Saginaw Spirit",4,0,0,0,0,-2,0,0,0,0,0,0
"Darcy Dewachter","NO",2007-03-01,"5.11",173,"D","Niagara IceDogs",2,0,0,0,0,2,0,0,0,0,0,0
"David Bedkowski","NO",2006-12-07,"6.06",220,"RD","Owen Sound Attack",3,0,0,0,0,0,0,0,0,0,0,9
"Douglas Mitchell","NO",2007-04-26,"6.01",170,"RW","Brantford Bulldogs",1,0,0,0,0,-2,0,0,0,0,0,0
"Erik Muxlow","NO",2007-03-21,"5.10",192,"LW","Soo Greyhounds",3,0,0,0,0,2,0,0,0,0,0,2
"Ethan Armstrong","NO",2007-01-23,"6.03",185,"D","Barrie Colts",5,0,0,0,0,-7,0,0,0,0,0,0
"Evan Passmore","NO",2006-12-05,"6.05",217,"D","Barrie Colts",2,0,0,0,0,-3,0,0,0,0,0,10
"Gabriel Smith","NO",2007-01-01,"6.04",204,"LD","Owen Sound Attack",3,0,0,0,0,0,0,0,0,0,0,5
"Grant Spada","NO",2007-06-24,"6.06",216,"D","Guelph Storm",3,0,0,0,0,-1,0,0,0,0,0,11
"Hayden Barch","NO",2007-04-14,"6.02",194,"D","Saginaw Spirit",2,0,0,0,0,-2,0,0,0,0,0,0
"Hudson Martin","NO",2007-06-20,"5.10",179,"D","Sudbury Wolves",3,0,0,0,0,-2,0,0,0,0,0,0
"Hughston Hurt","NO",2007-07-10,"6.01",178,"D","Sarnia Sting",4,0,0,0,0,-2,0,0,0,0,0,6
"Jake Crawford","NO",2007-05-05,"6.03",190,"C","Owen Sound Attack",3,0,0,0,0,-1,0,0,0,0,0,13
"Joseph Cadorin","NO",2007-03-29,"5.11",180,"LW","Peterborough Petes",1,0,0,0,0,0,0,0,0,0,0,6
"Joshua Giordano","NO",2007-03-30,"6.00",181,"C","Brantford Bulldogs",1,0,0,0,0,-2,0,0,0,0,0,0
"Julian Gignac","NO",2007-04-20,"6.02",180,"LW","Windsor Spitfires",1,0,0,0,0,0,0,0,0,0,0,0
"Julius Saari","NO",2007-03-07,"6.02",200,"D","Erie Otters",3,0,0,0,0,-2,0,0,0,0,0,0
"Kaiden Thatcher","NO",2007-02-08,"6.04",205,"D","Peterborough Petes",1,0,0,0,0,0,0,0,0,0,0,0
"Kashawn Aitcheson","NO",2006-09-21,"6.02",203,"D","Barrie Colts",1,0,0,0,0,0,0,0,0,0,0,5
"Kieran Riley","NO",2007-01-08,"6.02",200,"D","Brampton Steelheads",6,0,0,0,0,-6,0,0,0,0,0,2
"Linus Funck","NO",2007-05-10,"6.04",206,"D","London Knights",1,0,0,0,0,0,0,0,0,0,0,0
