"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Carter George","6.02",195,"Owen Sound Attack",2006-05-20,2,47,48,0.979,32.18,1,0.67,0,1,0,0,0,0,0,0,0
"Colin Ellsworth","6.01",186,"Guelph Storm",2008-12-03,2,53,55,0.964,27.5,2,1,0,2,0,0,0,0,0,0,0
"Mason Courville","6.01",185,"Flint Firebirds",2009-10-27,1,34,35,0.971,35,1,1,0,1,0,0,0,0,0,0,0
"William Lubimov","6.04",205,"Niagara IceDogs",2006-05-19,2,17,18,0.944,18.11,1,1.01,0,2,0,0,0,0,0,0,0
"Mason Hriczov","6.02",190,"Kitchener Rangers",2009-03-14,2,19,20,0.95,23.89,1,1.19,0,0,1,0,1,0,0,0,0
"Sebastian Gatto","6.04",185,"London Knights",2006-01-24,2,41,43,0.953,28.51,2,1.33,0,1,0,0,0,0,0,0,0
"Ryder Fetterolf","6.00",186,"Ottawa 67's",2008-01-05,2,47,50,0.94,25.31,3,1.52,0,1,1,0,1,0,0,0,0
"David Egorov","6.02",195,"Brantford Bulldogs",2006-05-18,3,49,53,0.925,25.74,4,1.94,0,2,0,0,0,0,0,0,0
"Matthew Minchak","6.05",200,"Kingston Frontenacs",2007-05-23,3,53,57,0.93,28.5,4,2,0,2,0,0,0,0,0,0,0
"Chase Furlong","6.01",160,"Erie Otters",2007-05-30,1,26,28,0.929,28,2,2,0,1,0,0,0,1,1,0,0
"Alexandre Raymond","6.04",208,"Rouyn-Noranda Huskies",2007-11-13,1,14,15,0.933,30.18,1,2.01,0,0,0,0,0,0,0,0,0
"Noah Erliden","5.11",183,"Erie Otters",2005-09-09,2,39,42,0.929,28.19,3,2.01,0,0,1,0,1,0,0,0,0
"Mason Vaccari","5.11",184,"Flint Firebirds",2005-04-29,2,38,42,0.905,21.18,4,2.02,0,1,1,0,1,0,0,0,0
"Charlie Larocque","6.03",181,"North Bay Battalion",2007-07-16,2,58,62,0.935,31.28,4,2.02,0,1,1,0,1,0,0,0,0
"Jaden Cholette","6.03",184,"London Knights",2006-01-30,2,50,53,0.943,35.8,3,2.03,1,1,0,0,0,0,0,0,0
"Ben Hrebik","6.03",210,"Barrie Colts",2006-04-04,1,40,42,0.952,42.7,2,2.03,0,0,0,0,0,0,0,0,0
"Jason Tremblay","6.04",198,"Sudbury Wolves",2006-08-08,2,26,28,0.929,31.17,2,2.23,0,0,1,0,1,0,0,0,0
"Jason Schaubel","6.00",165,"Kitchener Rangers",2008-08-30,3,55,60,0.917,27.77,5,2.31,0,2,0,0,0,0,0,0,0
"Peter Chlebowski","6.02",210,"Brampton Steelheads",2008-09-03,3,78,85,0.918,28.33,7,2.33,0,3,0,0,0,0,0,0,0
"Gavin Betts","6.00",186,"Kingston Frontenacs",2008-04-03,2,47,51,0.922,30.6,4,2.4,0,1,0,0,0,0,0,0,0
"Zach Bowen","6.02",190,"Brampton Steelheads",2005-04-25,2,50,55,0.909,27.5,5,2.5,0,1,0,0,0,0,0,0,0
"Jaeden Nelson","6.01",195,"Ottawa 67's",2007-04-11,2,45,50,0.9,25,5,2.5,0,0,0,0,0,0,0,0,0
"Dylan Lee-Stack","6.02",180,"Peterborough Petes",2007-04-24,2,37,40,0.925,33.47,3,2.51,0,0,0,0,0,1,0,1,0
"Charlie Burns","6.01",177,"Erie Otters",2006-01-29,2,45,49,0.918,32.44,4,2.65,0,0,2,0,2,0,0,0,0
"Masen Johnston","6.01",190,"Peterborough Petes",2007-02-08,3,30,33,0.909,29.49,3,2.68,0,1,1,0,1,0,0,0,0
"Karsen Chartier","6.03",183,"Sudbury Wolves",2006-01-01,3,33,37,0.892,24.85,4,2.69,0,1,0,0,0,1,1,0,0
"Hagan Bach","6.01",191,"Barrie Colts",2009-04-17,3,45,49,0.918,33.47,4,2.73,0,0,0,0,0,0,0,0,0
"Maksim Corovic","6.03",196,"Brantford Bulldogs",2008-05-20,3,92,99,0.929,40.37,7,2.85,0,1,1,0,1,0,0,0,0
"Owen Leonard","6.01",185,"Sudbury Wolves",2009-05-19,2,43,46,0.935,45.48,3,2.97,0,0,0,0,0,0,0,0,2
"Carter Froggett","6.04",215,"Windsor Spitfires",2006-04-07,2,19,22,0.864,21.95,3,2.99,0,1,0,0,0,0,0,0,0
"Joey Costanzo","6.01",184,"Windsor Spitfires",2005-07-26,1,23,26,0.885,26,3,3,0,1,0,0,0,0,0,0,0
"Cole Vreugdenhil","6.03",197,"North Bay Battalion",2009-11-03,1,20,23,0.87,23,3,3,0,1,0,0,0,0,0,0,0
"Royden Smith","6.05",205,"Kingston Frontenacs",2009-02-06,1,14,15,0.933,45,1,3,0,0,0,0,0,0,0,0,0
"Luke Johnson","6.01",170,"Brampton Steelheads",2009-04-16,1,19,22,0.864,22.37,3,3.05,0,0,1,0,1,0,0,0,0
"Noah Tegelaar","6.05",177,"Soo Greyhounds",2006-10-15,2,34,39,0.872,25.89,5,3.32,0,1,0,0,0,0,0,0,0
"Christian Kirsch","6.04",193,"Kitchener Rangers",2006-06-18,2,48,53,0.906,35.48,5,3.35,0,1,0,0,0,0,0,0,0
"Matthew Koprowski","6.03",212,"Owen Sound Attack",2007-02-05,2,47,52,0.904,35.02,5,3.37,0,1,1,0,1,0,0,0,0
"Ryerson Leenders","6.01",182,"Brantford Bulldogs",2006-06-01,2,34,39,0.872,26.32,5,3.37,0,1,0,0,0,0,0,0,0
"Easton Rye","6.00",196,"Peterborough Petes",2006-10-28,2,46,52,0.885,31.2,6,3.6,0,1,0,0,0,1,1,0,0
"Evan Maillet","6.00",172,"Sarnia Sting",2006-03-17,4,79,89,0.888,32.28,10,3.63,0,0,1,0,1,1,0,1,0
"Charlie Robertson","6.04",182,"Niagara IceDogs",2005-04-02,1,13,15,0.867,28.95,2,3.86,0,0,0,0,0,0,0,0,0
"Samuel Meloche","6.03",199,"Rouyn-Noranda Huskies",2007-06-22,1,11,13,0.846,25.84,2,3.98,0,0,0,0,0,0,0,0,0
"Kaleb Papineau","6.02",185,"Saginaw Spirit",2006-01-25,3,44,52,0.846,26,8,4,0,1,0,0,0,0,0,0,0
"Arvin Jaswal","6.02",178,"Barrie Colts",2008-03-29,4,99,111,0.892,37.27,12,4.03,0,2,2,0,2,0,0,0,0
"Matthew Humphries","6.04",195,"Niagara IceDogs",2008-07-28,2,54,60,0.9,40.81,6,4.08,0,0,1,0,1,0,0,0,0
"William Camputaro","6.06",209,"Soo Greyhounds",2008-05-23,2,31,37,0.838,25.4,6,4.12,0,1,1,0,1,0,0,0,0
"Andrei Bondarev","6.05",245,"Oshawa Generals",2008-01-04,3,66,76,0.868,32.57,10,4.29,0,0,1,0,1,0,0,0,0
"Michael Newlove","6.02",187,"Windsor Spitfires",2007-01-14,3,37,44,0.841,29.57,7,4.7,0,1,1,0,1,0,0,0,0
"Stepan Shurygin","6.05",215,"Saginaw Spirit",2007-08-26,2,48,56,0.857,33.79,8,4.83,0,0,0,0,0,0,0,0,0
"Aleksei Medvedev","6.03",195,"London Knights",2007-09-10,1,28,33,0.848,33,5,5,0,1,0,0,0,0,0,0,0
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,1,16,21,0.762,21,5,5,0,0,0,0,0,1,0,1,0
"Owen Papp","6.02",189,"Erie Otters",2008-09-19,1,42,47,0.894,47,5,5,0,0,1,0,1,0,0,0,2
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,2,36,41,0.878,41,5,5,0,0,1,0,1,0,0,0,0
"Finn Marshall","6.02",180,"Sudbury Wolves",2006-01-13,3,34,42,0.81,26.69,8,5.08,0,1,1,0,1,0,0,0,0
"Jack Lisson","6.02",190,"North Bay Battalion",2006-03-31,3,46,57,0.807,28.5,11,5.5,0,0,1,0,1,0,0,0,0
"Zach Jovanovski","6.02",194,"Guelph Storm",2007-10-07,3,79,94,0.84,35.75,15,5.7,0,1,2,0,2,0,0,0,0
"Nico Armellin","5.10",154,"Barrie Colts",2007-03-26,1,15,18,0.833,35.41,3,5.9,0,0,1,0,1,0,0,0,0
"Trenten Bennett","6.08",220,"Owen Sound Attack",2006-04-01,1,29,35,0.829,35,6,6,0,0,1,0,1,0,0,0,0
"Cruz Reznik","6.03",196,"Guelph Storm",2009-03-15,2,33,41,0.805,30.75,8,6,0,0,1,0,1,0,0,0,0
"Isaac Gravelle","6.00",186,"Oshawa Generals",2007-01-18,3,66,82,0.805,30.76,16,6,0,0,2,0,2,0,0,0,0
"Reid Thomas","6.02",180,"Oshawa Generals",2007-06-07,3,26,32,0.813,32.31,6,6.06,0,0,2,0,2,0,0,0,0
"Sammy DiBlasi","6.04",190,"Saginaw Spirit",2007-01-13,3,46,58,0.793,29.31,12,6.06,0,0,2,0,2,0,0,0,0
"Owen Edwards","6.03",170,"Kitchener Rangers",2007-01-02,1,12,15,0.8,31.03,3,6.21,0,0,1,0,1,0,0,0,0
"Brian Rathwell","6.05",215,"Saginaw Spirit",2009-03-09,1,9,11,0.818,34.71,2,6.31,0,0,1,0,1,0,0,0,0
"Patrick Quinlan","6.01",188,"Sarnia Sting",2007-04-19,3,57,71,0.803,32.23,14,6.36,0,0,2,0,2,0,0,0,0
"Noah Bender","6.04",195,"Flint Firebirds",2006-06-30,1,23,30,0.767,30.47,7,7.11,0,0,1,0,1,0,0,0,0
"Jake Windbiel","6.04",205,"Windsor Spitfires",2008-02-11,1,13,18,0.722,35.33,5,9.81,0,0,0,0,0,0,0,0,0
"Zack Irvin","6.04",208,"Owen Sound Attack",2007-02-25,1,34,39,0.872,39,5,5,0,1,0,0,0,0,0,0,0
"Hayden Jeffery","6.01",183,"Niagara IceDogs",2006-05-08,2,40,45,0.889,45.14,5,5.02,0,0,1,0,1,0,0,0,0
