"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Dima Zhilkin","NO",71,2008-10-21,2008,"5.11",195,"RW","Saginaw Spirit",5,8,3,11,2.2,3,3,1,4,0,1,1,0,0,6,1
"Julian DeMiglio","NO",9,2006-04-22,2006,"5.11",180,"C","Brampton Steelheads",6,6,4,10,1.67,7,0,2,2,0,0,0,2,0,4,1
"Nikita Klepov","NO",98,2008-06-27,2008,"6.00",180,"LW","Saginaw Spirit",5,2,8,10,2,-1,1,5,6,0,0,0,0,0,2,1
"Kieran Witkowski","NO",13,2007-02-07,2007,"5.11",176,"LW","Brampton Steelheads",5,2,7,9,1.8,7,1,0,1,0,0,0,0,0,2,1
"Cooper Dennis","NO",19,2007-05-07,2007,"5.06",151,"RW","Brantford Bulldogs",5,5,3,8,1.6,8,1,0,1,0,0,0,0,0,4,1
"Levi Harper","NO",4,2008-10-03,2008,"6.00",185,"D","Saginaw Spirit",5,1,7,8,1.6,-1,1,5,6,0,0,0,0,0,8,1
"Logan Hawery","NO",26,2008-03-15,2008,"5.10",170,"C","London Knights",4,4,3,7,1.75,6,1,0,1,0,0,0,1,1,6,1
"Gabriel Chiarot","NO",20,2006-09-17,2006,"5.11",191,"RW","Brampton Steelheads",3,3,4,7,2.33,7,0,1,1,0,0,0,0,0,11,1
"Ryan Brown","NO",23,2007-10-27,2007,"6.00",192,"LW","Sarnia Sting",4,1,6,7,1.75,2,0,4,4,0,1,1,0,0,4,1
"Quinn McKenzie","NO",24,2007-11-28,2007,"5.09",171,"C","Soo Greyhounds",4,4,2,6,1.5,0,1,1,2,0,0,0,0,0,0,1
"Joe Salandra","YES",15,2008-02-15,2008,"5.10",198,"RW","Barrie Colts",5,4,2,6,1.2,4,0,1,1,0,0,0,0,0,0,1
"David Green","NO",2,2006-08-13,2006,"6.02",202,"D","Brampton Steelheads",5,3,3,6,1.2,5,1,1,2,0,0,0,1,0,0,1
"Ihnat Pazii","NO",13,2006-12-04,2006,"5.09",156,"LW","North Bay Battalion",5,3,3,6,1.2,2,0,1,1,0,0,0,0,0,4,1
"Parker Vaughan","NO",16,2008-03-06,2008,"6.01",200,"RW","North Bay Battalion",5,3,3,6,1.2,-2,2,1,3,0,0,0,0,0,10,1
"Jean-Cristoph Lemieux","NO",22,2008-06-19,2008,"6.00",197,"C","Windsor Spitfires",3,2,4,6,2,1,1,1,2,0,0,0,0,0,0,1
"Jaxon Cover","NO",21,2008-02-13,2008,"6.02",185,"LW","London Knights",4,2,4,6,1.5,4,1,0,1,0,0,0,0,0,12,1
"Jonathan Kapageridis","NO",3,2007-05-08,2007,"6.00",182,"D","North Bay Battalion",5,2,4,6,1.2,3,0,1,1,0,0,0,0,0,2,1
"Ethan Belchetz","NO",61,2008-03-30,2008,"6.05",227,"LW","Windsor Spitfires",3,1,5,6,2,5,0,3,3,0,0,0,0,0,2,1
"Haeden Ellis","NO",13,2007-03-07,2007,"5.10",161,"RW","Kitchener Rangers",5,5,0,5,1,5,1,0,1,0,0,0,2,0,2,1
"Jeremy Freeman","NO",8,2009-07-07,2009,"5.09",178,"LW","Brantford Bulldogs",6,5,0,5,0.83,3,0,0,0,0,0,0,1,0,0,1
"Liam Greentree","NO",66,2006-01-01,2006,"6.03",216,"LW","Windsor Spitfires",1,4,1,5,5,3,1,1,2,1,0,1,0,0,2,1
"Beckham Edwards","NO",81,2008-01-06,2008,"6.02",184,"C","Sarnia Sting",4,4,1,5,1.25,2,1,0,1,0,0,0,0,0,0,1
"Noah Laus","YES",91,2009-02-10,2009,"6.01",193,"C","Soo Greyhounds",4,4,1,5,1.25,3,0,0,0,1,0,1,0,1,2,1
"Egor Barabanov","NO",14,2006-05-16,2006,"6.00",175,"C","Saginaw Spirit",5,4,1,5,1,-2,2,0,2,0,0,0,0,0,10,1
