"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Pierce Mbuyi",2008-04-17,"LW","Owen Sound Attack",63,29,23,52,0.83,8,11,6,1,1,46
"Carson Harmer",2007-01-13,"C","Saginaw Spirit",68,23,27,50,0.74,17,7,4,2,1,39
"Lev Katzin",2007-05-13,"C","Guelph Storm",44,16,32,48,1.09,-7,5,14,0,3,26
"Jacob Cloutier",2007-03-22,"RW","Saginaw Spirit",67,23,24,47,0.7,15,5,1,1,1,41
"Beckham Edwards",2008-01-06,"C","Sarnia Sting",62,25,20,45,0.73,-9,7,5,1,0,6
"Filip Ekberg",2007-04-14,"LW","Ottawa 67's",53,16,29,45,0.85,5,5,11,1,0,8
"Dima Zhilkin",2008-10-21,"RW","Saginaw Spirit",54,16,27,43,0.8,15,2,5,1,0,55
"Chase Reid",2007-12-30,"D","Soo Greyhounds",39,7,33,40,1.03,4,2,11,1,0,32
"Braidy Wassilyn",2008-05-28,"C","Niagara IceDogs",62,8,31,39,0.63,-21,4,9,0,0,16
"Ethan Belchetz",2008-03-30,"LW","Windsor Spitfires",56,17,21,38,0.68,-3,4,6,2,0,48
"Alessandro Di Iorio",2008-03-17,"C","Sarnia Sting",58,11,27,38,0.66,-24,3,13,1,1,14
"Cole Zurawski",2008-02-06,"RW","Owen Sound Attack",61,16,15,31,0.51,-2,1,1,2,0,22
"Brady Smith",2007-04-12,"C","Soo Greyhounds",57,11,19,30,0.53,-18,1,1,2,3,16
"Ruslan Karimov",2007-04-27,"LW","Sarnia Sting",66,15,14,29,0.44,-8,1,4,1,0,61
"Liam Beamish",2007-01-04,"C","Sarnia Sting",40,14,15,29,0.73,9,2,2,2,1,34
"Colin Fitzgerald",2008-04-01,"C","Peterborough Petes",48,12,16,28,0.58,-21,4,8,1,0,45
"Carter Stevens",2008-01-11,"C","Guelph Storm",66,13,13,26,0.39,-11,8,5,1,0,36
"Noah Read",2007-01-06,"LW","London Knights",45,10,16,26,0.58,10,0,2,2,0,20
"Hudson Chitaroni",2007-08-22,"C","Sudbury Wolves",65,9,16,25,0.38,-9,2,3,4,0,43
"Rowan Henderson",2007-12-10,"LW","Sudbury Wolves",66,11,13,24,0.36,0,0,0,3,2,37
"Brooks Rogowski",2008-06-24,"RW","Oshawa Generals",66,11,12,23,0.35,-3,1,0,1,0,9
"Alex McLean",2008-08-08,"C","Guelph Storm",61,10,13,23,0.38,-23,2,4,2,0,10
"Blake Arrowsmith",2007-04-17,"RW","Niagara IceDogs",58,11,10,21,0.36,-13,1,1,1,0,56
"Jordan Charron",2007-06-21,"RW","Soo Greyhounds",48,10,11,21,0.44,-19,0,0,1,0,47
"Joshua Avery",2007-01-30,"C","Brantford Bulldogs",53,9,12,21,0.4,-1,1,0,0,0,18
"Brady Smith",2008-04-13,"RW","Soo Greyhounds",66,8,12,20,0.3,-14,4,4,1,0,20
"Kohyn Eshkawkogan",2008-11-19,"D","Ottawa 67's",52,4,16,20,0.38,-5,1,5,0,0,37
"Max Crete",2008-04-24,"C","Niagara IceDogs",68,11,8,19,0.28,-27,2,1,1,1,64
"Jean-Cristoph Lemieux",2008-06-19,"C","Windsor Spitfires",46,9,10,19,0.41,5,0,0,0,0,18
"Nikolas Rossetto",2008-08-02,"RW","Brantford Bulldogs",57,9,10,19,0.33,2,0,0,0,0,2
"Carson Andrew",2008-03-10,"RW","Soo Greyhounds",68,7,12,19,0.28,-24,0,2,1,0,8
"Graydon Jones",2007-01-01,"D","Saginaw Spirit",54,3,16,19,0.35,0,0,2,0,0,34
"Francis Parish",2007-03-06,"RW","Peterborough Petes",57,7,11,18,0.32,-10,2,0,0,0,37
"Daniil Skvortsov",2007-01-13,"D","Guelph Storm",59,5,13,18,0.31,-18,1,0,0,0,12
"Parker Vaughan",2008-03-06,"RW","North Bay Battalion",64,9,8,17,0.27,-6,1,1,2,1,31
"Aiden O'Donnell",2008-01-03,"LW","Brantford Bulldogs",58,7,10,17,0.29,-1,0,1,1,0,14
"Kent Greer",2008-02-07,"D","North Bay Battalion",56,4,12,16,0.29,-8,1,0,0,0,14
"Noah Jenken",2007-03-08,"D","Guelph Storm",53,2,14,16,0.3,1,0,2,0,0,27
"Cameron Arquette",2007-04-27,"RW","Kitchener Rangers",53,8,7,15,0.28,-3,0,0,1,0,11
"Luca Blonda",2008-11-25,"D","Sudbury Wolves",65,5,10,15,0.23,-14,1,1,1,0,40
"Ryder Carey",2008-08-02,"C","North Bay Battalion",68,4,11,15,0.22,-20,0,1,0,0,37
"Ethan Garden",2008-04-13,"LW","Windsor Spitfires",55,6,8,14,0.25,-5,0,0,3,0,18
"Karlis Flugins",2007-11-11,"C","Flint Firebirds",52,5,9,14,0.27,2,1,0,2,0,4
"Alexander Bilecki",2008-05-09,"LD","Kitchener Rangers",45,3,11,14,0.31,4,0,1,0,0,29
"Carter Hicks",2008-02-20,"D","Windsor Spitfires",52,3,11,14,0.27,11,1,0,0,0,25
"Aidan Lane",2007-02-04,"RW","Brampton Steelheads",13,7,6,13,1,10,2,0,1,0,2
"Lucas Ambrosio",2008-01-06,"D","Erie Otters",52,4,9,13,0.25,1,0,0,0,0,44
"Rafik Varosyan",2007-10-01,"LW","Owen Sound Attack",50,4,9,13,0.26,-10,0,0,1,0,37
"Hunter Solomon",2007-12-04,"D","Soo Greyhounds",68,3,10,13,0.19,-13,0,0,0,0,37
"Logan Hawery",2008-03-15,"C","London Knights",33,9,3,12,0.36,4,0,1,0,0,8
"Matthew Manza",2007-09-22,"RW","Sarnia Sting",26,6,6,12,0.46,-6,2,0,0,0,10
"Aaron Enright",2007-03-28,"D","North Bay Battalion",49,2,10,12,0.24,3,1,0,0,0,18
"Chase Yanni",2007-01-08,"LW","Ottawa 67's",62,7,3,10,0.16,-22,0,0,1,0,53
"Adam Levac",2008-06-27,"C","Peterborough Petes",57,6,4,10,0.18,-17,0,0,0,0,27
"Tyler Challenger",2008-04-13,"C","Erie Otters",63,6,4,10,0.16,-13,1,0,2,0,12
"Blake Clayton",2007-10-23,"C","Sudbury Wolves",35,5,5,10,0.29,4,0,0,2,1,43
"Genc Ula",2008-10-26,"D","Peterborough Petes",56,5,5,10,0.18,-10,0,0,1,0,16
"Ethan Weir",2007-01-10,"RW","Saginaw Spirit",43,2,8,10,0.23,-12,1,2,0,0,0
"Reyth Smith",2007-07-27,"LW","North Bay Battalion",49,5,4,9,0.18,-2,0,0,0,0,43
"Haeden Ellis",2007-03-07,"RW","Kitchener Rangers",36,3,6,9,0.25,6,0,0,0,0,2
"Blake Gowan",2008-04-29,"D","Peterborough Petes",39,1,8,9,0.23,-9,0,0,0,0,15
