"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"A.J. Gladman",2009-01-19,"D","Erie Otters",5,1,1,2,0.4,100
"Alexander Lisi",2009-07-03,"LW","Owen Sound Attack",6,1,0,1,0.17,20
"Andrew Robinson",2008-01-08,"D","Windsor Spitfires",2,1,0,1,0.5,33
"Brooks Rogowski",2008-06-24,"C","Oshawa Generals",4,1,0,1,0.25,20
"Chase Gaughan",2008-07-17,"RW","Sarnia Sting",5,1,0,1,0.2,17
"Cooper Bordeaux",2007-08-30,"RW","Saginaw Spirit",5,1,0,1,0.2,100
"Cooper Dennis",2007-05-07,"RW","Peterborough Petes",2,1,0,1,0.5,100
"Dima Zhilkin",2008-10-21,"LW","Saginaw Spirit",4,1,0,1,0.25,12
"Jared Langdon",2006-11-16,"C","Niagara IceDogs",5,1,0,1,0.2,33
"Jonas Gulbrandsen",2008-10-14,"C","Sarnia Sting",5,1,0,1,0.2,50
"Kane Barch",2009-03-13,"C","London Knights",4,1,0,1,0.25,17
"Liam Arsenault",2008-11-26,"LW","Newfoundland Regiment",3,1,0,1,0.33,20
"Liam Beamish",2007-01-04,"C","Erie Otters",4,1,0,1,0.25,50
"Luca Romano",2007-06-25,"C","Kitchener Rangers",2,1,0,1,0.5,20
"Miles Cooper",2006-08-04,"C","Victoria Royals",1,1,0,1,1,33
"Parker Smith",2009-04-17,"LW","Sudbury Wolves",6,1,0,1,0.17,25
"Tanner Nettleton",2008-02-08,"D","Kingston Frontenacs",3,1,0,1,0.33,100
"Tyler Hinde",2009-06-23,"C","Oshawa Generals",6,1,0,1,0.17,11
"Wesley Royston",2007-11-22,"RW","Owen Sound Attack",2,1,0,1,0.5,50
"Yanis Lutz",2008-05-11,"C","Peterborough Petes",3,1,0,1,0.33,50
"Alexis Michaud",2006-01-26,"RW","Newfoundland Regiment",2,0,1,1,0.5,20
"Axel Bisbee",2008-07-18,"D","Victoria Royals",1,0,1,1,1,100
"Brenner Lammens",2009-09-13,"C","Sarnia Sting",4,0,1,1,0.25,33
"Cameron Schmidt",2007-01-19,"RW","Victoria Royals",1,0,1,1,1,25
"Ethan Garden",2008-04-13,"C","Windsor Spitfires",4,0,1,1,0.25,33
"Genc Ula",2008-10-26,"D","Sudbury Wolves",5,0,1,1,0.2,33
"Gensen Geldart",2009-05-05,"C","Saginaw Spirit",7,0,1,1,0.14,20
"Mikhail Zakharov",2007-07-06,"C","London Knights",6,0,1,1,0.17,33
"Pacey Adduono",2008-09-01,"C","Peterborough Petes",3,0,1,1,0.33,25
"Tanner Lam",2007-07-14,"RW","Kitchener Rangers",3,0,1,1,0.33,14
"Will Reynolds",2007-08-11,"D","Newfoundland Regiment",3,0,1,1,0.33,50
"Aaron Enright",2007-03-28,"D","North Bay Battalion",3,0,0,0,0,0
"Abe Barnett",2008-09-21,"D","Brantford Bulldogs",4,0,0,0,0,0
"Adam Goljer",2008-06-07,"D","Kingston Frontenacs",1,0,0,0,0,NA
"Adam Kelly",2008-09-19,"RW","Kingston Frontenacs",3,0,0,0,0,0
"Adam Levac",2008-06-27,"C","Peterborough Petes",2,0,0,0,0,0
"Adam Nemec",2009-07-28,"LW","Brantford Bulldogs",5,0,0,0,0,0
"Adam Nemec",2007-10-18,"LW","Sudbury Wolves",1,0,0,0,0,NA
"Adrian Manzo",2007-08-28,"D","North Bay Battalion",4,0,0,0,0,0
"Adrian Sgro",2010-03-15,"D","Sarnia Sting",5,0,0,0,0,0
"Adrien Bartovic",2007-03-09,"C","Guelph Storm",4,0,0,0,0,0
"Aiden Atkinson",2008-01-31,"C","Guelph Storm",3,0,0,0,0,0
"Aiden Kelly",2010-02-02,"C","Brantford Bulldogs",5,0,0,0,0,0
"Aiden Mowrey",2009-07-02,"D","Barrie Colts",5,0,0,0,0,NA
"Aiden O'Donnell",2008-01-03,"LW","Oshawa Generals",4,0,0,0,0,0
"Aiden Young",2007-04-18,"C","Peterborough Petes",1,0,0,0,0,0
"Alec Walker",2010-04-08,"LW","Soo Greyhounds",2,0,0,0,0,NA
"Aleks Kulemin",2009-03-20,"C","Kingston Frontenacs",2,0,0,0,0,0
"Aleksandr Sementsov",2009-08-25,"LW","Barrie Colts",3,0,0,0,0,0
"Alessandro Di Iorio",2008-03-17,"C","Sarnia Sting",1,0,0,0,0,0
"Alex Campeau",2009-03-23,"C","London Knights",2,0,0,0,0,NA
"Alex Carscadden",2008-01-13,"C","Guelph Storm",4,0,0,0,0,0
"Alex Dvorak",2009-09-09,"D","Sudbury Wolves",6,0,0,0,0,0
"Alex Forrest",2009-06-11,"LD","Kitchener Rangers",3,0,0,0,0,0
"Alex McLean",2008-08-08,"LW","Kingston Frontenacs",2,0,0,0,0,0
